sentence,labels
"In contrast , pro-choice groups argue that a woman has certain reproductive rights , especially the choice on whether or not to carry a pregnancy to term .","[""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Proponents , identifying themselves as pro-choice , contend that choosing abortion is a woman ' s right that should not be limited by governmental or religious authority , and which outweighs any right claimed for an embryo or fetus .","['MORAL/ETHICAL_VALUES', 'FETAL/NEWBORN_RIGHTS', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Some may regret an abortion , but this should not be a reason to deny choice to all women .","['PSYCHOLOGICAL_EFFECTS_OF_ABORTION', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
"Women make big mistakes having abortions , and they regret it later .",['PSYCHOLOGICAL_EFFECTS_OF_ABORTION']
Abortion allows women to learn from mistakes they make it allows them to prevent a kid being raised in such poor conditions and lets the woman have a future regardless of making a mistake .,"['CONSEQUENCES_OF_CHILDBIRTH', ""BODILY_AUTONOMY/WOMEN'S_RIGHTS""]"
Abortion gives women the option to minimize their child ’s suffering .,['CONSEQUENCES_OF_CHILDBIRTH']
Abortion eliminates the potential societal contributions of a future human being .,['CONSEQUENCES_OF_CHILDBIRTH']
Abortion exposes women to various health risks and the danger of losing fertility .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"Abortion exposes woman to a number of health risks including , but not limited to , infection , sterility , and in rare cases , death .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"- Abortion can also lead to serious health complications , and in some cases the worst case scenario can be death .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
Medical abortions have less than 0.5 % risk of serious complications and do not affect a woman ' s health or future ability to become pregnant or give birth .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"A woman ' s risk of dying from having an abortion is 0.6 in 100,000 , while the risk of dying from giving birth is around 14 times higher ( 8.8 in 100,000 ) .","['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION', 'HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']"
"A 2012 study in Obstetrics & Gynecology found a woman ' s risk of dying from having an abortion is 0.6 in 100,000 , while the risk of dying from giving birth is around 14 times higher ( 8.8 in 100,000 ) .","['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION', 'HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']"
The Centers for Disease Control said the risk of dying from childbirth is 13 times that for abortion .,['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"The risk of death from childbirth is 14 times higher , at 8.8 in 100,000 .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"The consequences of this are grim , resulting in around 47,000 maternal deaths a year .",['ILLEGAL_ABORTIONS']
"Such situations occur globally , and result in about 70,000 maternal deaths and 5 million maternal disabilities per year .",['ILLEGAL_ABORTIONS']
"The World Health Organization estimated in 2004 that unsafe abortions cause 68,000 maternal deaths worldwide each year , many of those in developing countries where safe and legal abortion services are difficult to access .","['ILLEGAL_ABORTIONS', 'SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']"
"According to the most recent data , approximately 7 million women in developing countries are treated for complications from unsafe abortions annually and at least 22,000 die .",['ILLEGAL_ABORTIONS']
"68,000 deaths are 68,000 lives unable to reach their full potential because abortions were not legal and therefore not properly conducted .",['ILLEGAL_ABORTIONS']
"Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"World Health Organization statistics estimate that in 2004 these back alley abortions caused an estimated 68,000 deaths globally .",['ILLEGAL_ABORTIONS']
Abortion has killed about 56 million PEOPLE !,['FETAL/NEWBORN_RIGHTS']
"Since that 1973 ruling , more than 55 million lives have been lost to abortion .",['FETAL/NEWBORN_RIGHTS']
The Centers for Disease Control and Prevention reports [ http :// www.cdc.gov / mmwr / preview / mmwrhtml / ss6311a1.htm ? s _ cid = ss6311a1 _ w ] that from 1973 to 2010 over 400 women who underwent legal abortions in the U.S. were killed by the procedure .,['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"It is estimated that in 1972 illegal abortions resulted in 39 maternal deaths , which occurred before abortion was legal .",['ILLEGAL_ABORTIONS']
"In 1972 , there were 39 maternal deaths from illegal abortions .",['ILLEGAL_ABORTIONS']
"In the 1950s and the 1960s there were an estimated 200,000 to 1.2 million illegal abortions .",['ILLEGAL_ABORTIONS']
"With 43.8 million abortions performed worldwide in 2008 , the population increase if abortion were unavailable could be substantial .",['CONSEQUENCES_OF_CHILDBIRTH']
"Around the globe , abortion is shrinking the female population at an alarming rate .",['SAFETY/HEALTH_EFFECTS_OF_LEGAL_ABORTION']
"For decades , abortion has disproportionately targeted minority babies .",['FETAL/NEWBORN_RIGHTS']
It is suggested that sex-selective abortion could account for disparities between the birth rates of male and female children in some countries .,['MORAL/ETHICAL_VALUES']
