text,labels,split
"Proponents , identifying themselves as pro-choice , contend that choosing abortion is a woman ' s right that should not be limited by governmental or religious authority , and which outweighs any right claimed for an embryo or fetus .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"Some may regret an abortion , but this should not be a reason to deny choice to all women .","['PSYCHOLOGICAL EFFECTS OF ABORTION', ""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Abortion allows women to learn from mistakes they make it allows them to prevent a kid being raised in such poor conditions and lets the woman have a future regardless of making a mistake .,"['CONSEQUENCES OF CHILDBIRTH', ""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Abortion eliminates the potential societal contributions of a future human being .,['CONSEQUENCES OF CHILDBIRTH'],train
Abortion exposes women to various health risks and the danger of losing fertility .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Abortion exposes woman to a number of health risks including , but not limited to , infection , sterility , and in rare cases , death .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"A woman ' s risk of dying from having an abortion is 0.6 in 100,000 , while the risk of dying from giving birth is around 14 times higher ( 8.8 in 100,000 ) .","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH']",train
"Such situations occur globally , and result in about 70,000 maternal deaths and 5 million maternal disabilities per year .",['ILLEGAL ABORTIONS'],train
"The World Health Organization estimated in 2004 that unsafe abortions cause 68,000 maternal deaths worldwide each year , many of those in developing countries where safe and legal abortion services are difficult to access .","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'ILLEGAL ABORTIONS']",train
"According to the most recent data , approximately 7 million women in developing countries are treated for complications from unsafe abortions annually and at least 22,000 die .",['ILLEGAL ABORTIONS'],train
"Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"World Health Organization statistics estimate that in 2004 these back alley abortions caused an estimated 68,000 deaths globally .",['ILLEGAL ABORTIONS'],train
