sentence,labels
Abortion advocacy is a slippery slope and opens doors to other injustices .,['MORAL/ETHICAL_VALUES']
"By tampering with a life , aren t we acting against the creator of the world ?",['MORAL/ETHICAL_VALUES']
"Birth control and abortion do n’t cause sex , but reality dictates that they be available to help prevent teens from becoming parents .",['MORAL/ETHICAL_VALUES']
"In its original form , the oath prohibits both euthanasia and abortion .",['MORAL/ETHICAL_VALUES']
"Removing a diseased organ can be a morally permissible act , if other criteria are met , according to this article from the National Catholic Center of Bioethics .",['MORAL/ETHICAL_VALUES']
Making contraceptives and abortion available only encourages them to have sex .,['MORAL/ETHICAL_VALUES']
"Once we accepted the federalization of abortion law under the 1973 Roe v . Wade decision , we lost the ability to apply local community standards to ethical issues .",['MORAL/ETHICAL_VALUES']
"If the woman has health risks , the child must suffer through the pain .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"< br /> < ul > < li > In these types of pregnancies the baby grows in the fallopian tubes , causing serious risk to the mother , and an almost certain death to the baby .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"As Doctor C. Everett Koop , the pediatrician and former Surgeon General has pointed out , the majority of partial birth abortions are not required by medical emergency .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"Addressing the Arkansas House about a recent proposed “ fetal heartbeat bill , ” the chairman of the Department of Gynecology and Obstetrics at the University of Arkansas for Medical Sciences ( UAMS ) pointed out that , under the law , doctors who perform abortions for women with congenital heart problems who have a 50 % chance of surviving childbirth , or for women who suffer a rupture of the amniotic membrane surrounding the fetus ( which inevitably causes miscarriage but may lead to severe infection while the fetus still lives ) could be charged as felons .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
"The proposal can be simply to alter the child ’s physical dimensions and remove him or her , because , as a physical object , this body can not remain where it is without ending in both the baby ’s and the mother ’s deaths .",['HEALTH_EFFECTS_OF_PREGNANCY/CHILDBIRTH']
