sentence,labels
She likens it to making alcohol or cigarettes ten times stronger .,['LEGAL_DRUGS']
She claims they do more harm than good .,['HARM']
I know it ’s not good for her health or brain . ”,['HEALTH/PSYCHOLOGICAL_EFFECTS']
And it does not have any sort of negative implications on it for their health .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Third , it has no known general healthful properties , though it may have some palliative effects .","['HEALTH/PSYCHOLOGICAL_EFFECTS', 'MEDICAL_MARIJUANA']"
"Fourth , it is toxic and deleterious to health .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Most doctors would agree that it ' s not very harmful if used in moderation .,['HARM']
Research even suggests that its use might be linked to a higher risk of prescription drug use .,['GATEWAY_DRUG']
Research also suggests that its use may be linked to a higher risk of prescription drug use .,['GATEWAY_DRUG']
This means more people will be free to use the drug for its believed health benefits .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
This drug is empowered to drug dealers to make high wages for it .,['ILLEGAL_TRADE']
I believe that it ' s a gateway drug to other drugs .,['GATEWAY_DRUG']
It ' s simply not a gateway drug .,['GATEWAY_DRUG']
It ' s not a drug it ' s a herb !,['OTHER']
"This is not a drug to get high on , it ' s sooooo much more than that !",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"The drug is making them stupider , even when they ' re not high .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"This is especially true of addictive , mind-altering drugs like marijuana .",['ADDICTION']
Perhaps the biggest marijuana myth is that it ’s not addictive .,['ADDICTION']
"Contrary to popular belief , marijuana is not as addicting as one may think .",['ADDICTION']
"Despite arguments by the drug culture to the contrary , marijuana is addictive .",['ADDICTION']
The scientific literature is clear that marijuana is addictive and that its use significantly impairs bodily and mental functions .,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'ADDICTION']"
Scientific research is clear that marijuana is addictive and that its use significantly impairs bodily and mental functions .,"['HEALTH/PSYCHOLOGICAL_EFFECTS', 'ADDICTION']"
"They say marijuana is addictive , leads to harder drug use , interferes with fertility , impairs driving ability , and injures the lungs , immune system , and brain .","['GATEWAY_DRUG', 'HEALTH/PSYCHOLOGICAL_EFFECTS', 'ADDICTION']"
"In addition to marijuana ’s harmful effects on the body and relationship to criminal conduct , it is a gateway drug that can lead users to more dangerous drugs .","['GATEWAY_DRUG', 'HEALTH/PSYCHOLOGICAL_EFFECTS']"
"Claims that marijuana is a gateway to more dangerous drugs are as fanciful as the “ Reefer Madness ” images of murder , rape and suicide .",['GATEWAY_DRUG']
"Claims that marijuana is a gateway to more dangerous drugs are as fanciful as the ‘ Reefer Madness ’ images of murder , rape and suicide . ”",['GATEWAY_DRUG']
"Opponents have cited the state ’s opioid addiction crisis , warning that marijuana is a “ gateway drug ” that leads to more dangerous habits .",['GATEWAY_DRUG']
"It states that drug abuse in the U.S. is at "" epidemic proportions , and the dangers of marijuana to public health and safety are well documented . ""","['COMMUNITY/SOCIATAL_EFFECTS', 'DRUG_ABUSE']"
We affirm the 2006 FDA finding and vast scientific evidence that marijuana causes harm .,['HARM']
"After decades of study the FDA continues to reaffirm that there is no medical benefit provided by the use of smoked marijuana and that , in fact , considerable harm can be caused by such use .","['HARM', 'MEDICAL_MARIJUANA']"
"Opponents of medical marijuana argue that it is too dangerous to use , lacks FDA-approval , and that various legal drugs make marijuana use unnecessary .",['MEDICAL_MARIJUANA']
"Marijuana , even that supposedly used for medicinal purposes , has been rejected by the FDA because , among other reasons , it “ has no currently accepted or proven medical use . ”",['MEDICAL_MARIJUANA']
"A 2013 poll found that , among the public overall , 77 % said that marijuana had “ legitimate medical uses . ” ]",['MEDICAL_MARIJUANA']
"In fact , a scientific consensus exists that marijuana has serious health implications — even for casual users .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
There is lots of health and good benefits to marijuana with only a small amount of negative effects .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"As detailed in the related links section , there are a number of medical benefits of marijuana , most notably in the treatment of patients undergoing chemotherapy .",['MEDICAL_MARIJUANA']
"As previously mentioned , marijuana brings about a number of medical benefits .",['MEDICAL_MARIJUANA']
There ’s no question that marijuana does have medicinal benefits .,['MEDICAL_MARIJUANA']
"Nearly two decades of research have shown that marijuana can be beneficial in alleviating pain and other symptoms associated with an array of illnesses , including cancer and multiple sclerosis .",['MEDICAL_MARIJUANA']
"Proponents of medical marijuana argue that it can be a safe and effective treatment for the symptoms of cancer , AIDS , multiple sclerosis , pain , glaucoma , epilepsy , and other conditions .",['MEDICAL_MARIJUANA']
"People inside and outside the medical field argue that marijuana is effective in treating a range of health conditions , including Crohn ’s disease , epilepsy , multiple sclerosis ( MS ) and posttraumatic stress disorder ( PTSD ) .",['MEDICAL_MARIJUANA']
"One could add glaucoma , Crohn ’s disease and muscle spasms related to multiple sclerosis , and a host of other conditions to those marijuana has effectively treated .",['MEDICAL_MARIJUANA']
"Potentially because of its impact on the brain , marijuana use doubles the risk of developing psychotic disorders like schizophrenia for those already prone to them .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Consumption of marijuana impairs the immune system and short-term memory , elevates the risk of heart attack , and causes respiratory and brain damage .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
"These studies have also found that marijuana consumption impairs short-term memory , making it difficult to learn and retain information or perform complex tasks ; slows reaction time and impairs motor coordination ; increases heart rate by 20 percent to 100 percent , thus elevating the risk of heart attack ; and alters moods , resulting in artificial euphoria , calmness , or ( in high doses ) anxiety or paranoia .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
