sentence,labels
There is now legislation or binding collective bargaining regarding minimum wage in more than 90 percent of all countries .,['OTHER']
"L. N. Bent , the Vice President of the Hercules Powder Company similarly believed government control of wages would lead to government control of prices .","['GOVERNMENT', 'PRICES']"
"This helps explain why France also has shockingly high rates of youth unemployment : 26 % for 15 - to 24-year-olds . """,['UN/EMPLOYMENT_RATE']
"A number of those testifying , such Noel Sargent of NAM , even argued that the bill would "" make the next depression worse than would otherwise be the case . """,['ECONOMIC_IMPACT']
"In Principles of Political Economy in 1848 , John Stuart Mill argued that because of the collective action problems that workers faced in organisation , it was a justified departure from laissez-faire policies ( or freedom of contract ) to regulate people ' s wages and hours by law .","['GOVERNMENT', 'CAPITAL_VS_LABOR']"
"I mean , nobody works for minimum wage , back to this whole notion of showing up on time and wearing clean clothes gets you way above the minimum wage … I just think when government gets involved in setting wages , there ' s no stopping what government will intervene in doing . """,['GOVERNMENT']
"Advocates for a higher wage floor argue , first and foremost , that it is right to ensure that workers to earn enough to live on .",['SOCIAL_JUSTICE/INJUSTICE']
"He , like many others , argued the bill was putting the United States on the road to "" the complete centralization of Federal power "" and the creation of "" unlimited form of government . """,['GOVERNMENT']
"“ To the extent that the sum fixed exceeds the fair value of the services rendered , it amounts to a compulsory exaction from the employer for the support of a partially indigent person , for whose condition there rests upon him no peculiar responsibility , and therefore , in effect , arbitrarily shifts to his shoulders a burden which , if it belongs to anybody , belongs to society as a whole . ”",['COMPETITION/BUSINESS_CHALLENGES']
"Its expansion played a major role in welfare reform , and as David Neumark illustrates through the graph below , it can add thousands of dollars to the annual income of a poor family .",['SOCIAL_JUSTICE/INJUSTICE']
This is what the government has decided a person needs to make per hour ( at a full time or part time job ) to be fairly compensated for their work and still maintain a living .,['SOCIAL_JUSTICE/INJUSTICE']
"They found that a majority signed on the grounds that it transferred income from employers to workers , or equalized bargaining power between them in the labor market .",['CAPITAL_VS_LABOR']
"In 1960 , Senator Arthur Vandenberg ( R-MI ) warned that “ Federal wage-fixing ” was driving the United States “ closer and ever closer to the centralized authoritarian state , ” while Rep . Thomas Hagedorn ( R-MN ) cautioned that it “ strikes at a basic underpinning of our democratic system . ”",['GOVERNMENT']
"First , it mostly benefits parents .",['OTHER']
"In 1960 , Senator Arthur Vandenberg ( R-MI ) warned that "" Federal wage-fixing "" was driving the United States "" closer and ever closer to the centralized authoritarian state , "" while Rep . Thomas Hagedorn ( R-MN ) cautioned that it "" strikes at a basic underpinning of our democratic system . """,['GOVERNMENT']
"President Franklin D. Roosevelt , when he first introduced the federal minimum wage , in 1933 , was clear about its main purpose .",['OTHER']
"Not only that , but as one of the law ’s proponents said in the hearings regarding the figure of 40 cents an hour that was being discussed at the time ( around $ 6.60 in 2015 dollars ) : “ it would be a calamity if such a wage minimum as that referred to should in any way be construed as a living wage . ”",['SOCIAL_JUSTICE/INJUSTICE']
"In 1940 , US Catholic Bishops stated : "" The first claims of labor , WHICH TAKES PRIORITY OVER ANY CLAIMS OF THE OWNERS TO PROFITS , respects the right to a living wage . """,['SOCIAL_JUSTICE/INJUSTICE']
"“ Economists are almost in agreement that there are much better tools to target those concerns , ” she said .",['OTHER']
The legal restriction that employers can not pay less than a legislated wage is equivalent to the legal restriction that workers can not work at all in the protected sector unless they can find employers willing to hire them at that wage .,['UN/EMPLOYMENT_RATE']
Regular increases allow workers ’ wages to keep pace with inflation .,['SOCIAL_JUSTICE/INJUSTICE']
"Minimum wage opponents have tended to view it as the harbinger of economic doomsday since its inception , even when it was as moderate by today ’s standards as the FLSA of 1938 was .",['ECONOMIC_IMPACT']
"I hope those of you who believe that the government should solve poverty – as miraculous and unhistorical as that suggestion is – will read Milton Friedman , Fredrich Hayek , and Thomas Sowell .","['GOVERNMENT', 'SOCIAL_JUSTICE/INJUSTICE']"
This knee - jerk response to look to the government to solve all of our problems is simply untenable and indefensible .,['GOVERNMENT']
"As Robert Dresser of the National Association of Manufacturers ( NAM ) — an anti-union organization of assorted businesses that fought various New Deal laws — told the congressmen : "" you can not legislate a nation into prosperity . ""","['GOVERNMENT', 'CAPITAL_VS_LABOR']"
The federal government should n't be doing this .,['OTHER']
"“ No business which depends for existence on paying less than living wages to its workers has any right to continue in this country , ” he said .",['SOCIAL_JUSTICE/INJUSTICE']
Catholic support for living wages has been taught since 1891 .,['OTHER']
"France has the rich world ’s highest wage floor , at more than 60 % of the median for adults and a far bigger fraction of the typical wage for the young .",['OTHER']
"The Supreme Court , in its opinion in the 1923 case Adkins v . Children ’s Hospital of District of Columbia , made a strong argument that a minimum wage was a violation of the constitutionally guaranteed freedom of contract embedded in the Fifth Amendment ’s language about due process and the deprivation of liberty and property .",['GOVERNMENT']
"Tax credits help keep families afloat , and keeping the minimum wage lower helps ensure that people can still benefit from these well-established and important programs .",['WELFARE']
"Even if the freedom of contract is n’t protected by the Constitution , it ’s a natural right that should not be infringed .",['GOVERNMENT']
Private industry and the free market are already taking care of it .,['GOVERNMENT']
"If someone wants to work for $ 5 an hour , and someone wants to hire that person for that much , and no one is forcing either one of them to enter into the agreement , by what authority does government step in and stop them ?",['GOVERNMENT']
"The proposed hike would ease present hardship , not abolish it .",['SOCIAL_JUSTICE/INJUSTICE']
"No corporations rely on the mythical "" free market , "" why should workers ?","['GOVERNMENT', 'SOCIAL_JUSTICE/INJUSTICE']"
“ I think that is a good initiative to support . ”,['OTHER']
Most countries now have a statutory pay floor — and the ranks are still swelling .,['OTHER']
"Let the terms and conditions of wages be set by mutual agreement , not by government control and fiat .",['GOVERNMENT']
"If two free people want to enter into a voluntary , consensual agreement that does n’t infringe on anyone else ’s rights , why should the government stop them ?",['GOVERNMENT']
"Other countries , such as Sweden , Finland , Denmark , Switzerland , Austria , and Italy , have no minimum wage laws , but rely on employer groups and trade unions to set minimum earnings through collective bargaining .",['CAPITAL_VS_LABOR']
"The Fair Labor Standards Act , which set a national minimum wage of twenty-five cents an hour , in 1938 , and also abolished most child labor , “ constitute [ d ] a step in the direction of communism , bolshevism , fascism , and Nazism , ” according to the National Association of Manufacturers .",['OTHER']
They also do ensure that workers are given a fair wage .,['SOCIAL_JUSTICE/INJUSTICE']
"As President Franklin Roosevelt said in 1933 : "" No business which depends for existence on paying less than living wages to its workers has any right to continue in this country . """,['SOCIAL_JUSTICE/INJUSTICE']
Let the issues such as minimum wage be determined by mutual agreement between the employers and representatives of the employees who work for them .,['GOVERNMENT']
"First instituted by President Richard Nixon , it ’s widely considered one of the most successful poverty-alleviation tools the federal government has ever deployed .",['SOCIAL_JUSTICE/INJUSTICE']
It ’s no surprise that the government can not simply wave its magic wand and force businesses to pay higher wages without any negative side effects .,['GOVERNMENT']
There is widespread religious support for living wages .,['OTHER']
Many of my students assume that government protection is the only thing ensuring decent wages for most American workers .,"['GOVERNMENT', 'SOCIAL_JUSTICE/INJUSTICE']"
But it could make many families ' lives more financially stable without a great economic cost .,['SOCIAL_JUSTICE/INJUSTICE']
"It can not be stated enough times : if your business model depends on not having to pay your employees a living wage , said business model is hopelessly broken and deserves to fail .",['SOCIAL_JUSTICE/INJUSTICE']
"If you trust government officials and politicians to legislate and enforce a minimum wage for unskilled workers , you should logically trust those same bureaucrats to set all prices , wages and interest rates in the economy .","['LOW-SKILLED', 'GOVERNMENT']"
"This theoretical mob of half a million jobless will see themselves as victims , Fink said , making them , psychologically , “ the main recruiting ground for totalitarianism , for fascism . ”",['UN/EMPLOYMENT_RATE']
"Minimum wage laws prevent mutually advantageous , voluntary labor agreements between employers and employees from taking place .",['GOVERNMENT']
"According to Liana Fox , PhD , Senior Analyst at the Economic Policy Institute , "" inflation indexing guarantees low-wage workers a wage that keeps pace with the rising costs of goods and services . """,['SOCIAL_JUSTICE/INJUSTICE']
"Regardless , I ’m pretty sure Denmark ’s system works just fine considering their economy has n’t collapsed in on itself like a dying star .",['OTHER']
"In his speech , the President stated , “ If you work hard , you should be able to support a family . ”",['SOCIAL_JUSTICE/INJUSTICE']
"Saying we have a "" free market "" that will take care of workers is a myth .",['GOVERNMENT']
"As late as 1997 , Mark Wilson of the Heritage Foundation was suggesting that setting a legally mandated wage floor was "" socialism . """,['GOVERNMENT']
"Finally , a number of those testifying had near-apocalyptic visions of what the establishment of a minimum wage might mean .",['OTHER']
A higher wage floor seems like a simple and sensible way to improve workers ' fortunes .,['SOCIAL_JUSTICE/INJUSTICE']
"Over time , the focus changed to helping people , especially families , become more self-sufficient .",['SOCIAL_JUSTICE/INJUSTICE']
"The Fair Labor Standards Act ( FLSA ) , which was introduced to Congress in 1937 , aimed to eliminate sweatshop conditions by establishing a minimum wage , a maximum work week , and outlawing child labor .",['CAPITAL_VS_LABOR']
"Bastions of orthodoxy , such as the OECD , a rich-country think-tank , and the International Monetary Fund , now assert that a moderate minimum wage probably does not do much harm and may do some good .",['SOCIAL_JUSTICE/INJUSTICE']
"Nestor told justices that his clients were n't seeking an ordinance , but to change the way city government works , adding that the function of a city includes the responsibility to look out for the general welfare of the people in a city .",['OTHER']
"As late as 1997 , Mark Wilson of the Heritage Foundation was suggesting that setting a legally mandated wage floor was “ socialism . ”",['GOVERNMENT']
It is a way to protect workers from less than fair employers .,['CAPITAL_VS_LABOR']
"It would be a move in the direction of “ the wages of decent living ” — a performance , one might say , of decency itself .",['SOCIAL_JUSTICE/INJUSTICE']
""" Minimum-wage jobs are meant for high school students ! """,['YOUTH_AND_SECONDARY_WAGE_EARNERS']
They also believe it discourages further education of the poor .,['MOTIVATION/CHANCES']
Lower profits mean that businesses have less money to put back into their enterprises for job creation and business expansion .,"['UN/EMPLOYMENT_RATE', 'COMPETITION/BUSINESS_CHALLENGES']"
Increasing the cost of job creation now is unwise .,['UN/EMPLOYMENT_RATE']
It only reaches half of those it is intended to help and not in a positive way .,['OTHER']
"I would not raise it , specifically because I ' m interested in making sure that people are able to enter the job market and take advantage of opportunities . ""","['LOW-SKILLED', 'MOTIVATION/CHANCES']"
It ' s not helping as many or as large a portion of the labor market as you probably would like .,['OTHER']
"According to a study by Thomas A. Mroz , PhD , and Timothy H. Savage , PhD , for the Employment Policies Institute , "" those experiencing unemployment at an early age have years of lower earnings and an increased likelihood of unemployment ahead of them . """,['UN/EMPLOYMENT_RATE']
"On the ballot , voters will see the title of â € œThe Fair Wages and Healthy Families Act.â € â € œWe prefer to call it â € œThe Opportunity Destruction Act , â € said Hamer .",['MOTIVATION/CHANCES']
Nine dollars is not enough .,['OTHER']
"Millennials were handed a broken economy , a hopelessly corrupt student loans system , and the most staggering lack of class mobility in American history , and we turned around to those that handed it to us and went , “ uh , this is broken , this is not what you spent our entire lives promising us .",['OTHER']
"Before the law took effect , worries about potential damage to employment were widespread .",['UN/EMPLOYMENT_RATE']
""" We ' ve chosen to let workers at the bottom fall farther and farther away from people in the middle . """,['SOCIAL_JUSTICE/INJUSTICE']
"He called the increase "" a terrible idea , "" arguing that it will cost jobs and reduce investment in companies .","['UN/EMPLOYMENT_RATE', 'COMPETITION/BUSINESS_CHALLENGES']"
Those who are opposed to it tend to believe that it increases unemployment and harms the less skilled workers .,"['UN/EMPLOYMENT_RATE', 'LOW-SKILLED']"
The politician are playing on the public sympathy and the knowledge that the general public is too braindead to know what ’s really happening and why a wage hike is nothing more than a bandage on a massive hemorrhage .,['OTHER']
But I would not have gotten those jobs if someone had to pay me a large amount of money .,['MOTIVATION/CHANCES']
"Every time it was raised it was opposed by some few who said "" it is going to lose jobs and wreck the economy "" which is factually untrue as study after study has proven .","['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"Still , its value today is far lower than it was two generations ago .",['SOCIAL_JUSTICE/INJUSTICE']
This would be a bad idea .,['OTHER']
It ’s a sneaky way to increase welfare spending and raise taxes .,['WELFARE']
"We ’re smart enough to know the game is rigged , and when we refuse to participate in a broken system and fight for something better , we ’re somehow the bad guys , the lazy ones .",['OTHER']
"By historical standards , it ' s fairly low .",['SOCIAL_JUSTICE/INJUSTICE']
""" When legislators raise the price of low - and unskilled labor , it ’s usually low - and unskilled laborers who end up paying the price , "" Boston Globe columnist Jeff Jacoby wrote in a piece last week .",['LOW-SKILLED']
Why should they make something close to what I make ? ”,['SOCIAL_JUSTICE/INJUSTICE']
They do what is minimal required .,['OTHER']
"Not surprisingly , it has also occasioned a pushback from conservative politicians and columnists who view its increase as a misguided , self-defeating folly .",['OTHER']
Why would you want everyone competing for management jobs ?,['OTHER']
"Ben Carson claimed that , as a black youth , he would never have been hired as a lab assistant "" if someone had to pay me a large amount of money . ""","['SOCIAL_JUSTICE/INJUSTICE', 'MOTIVATION/CHANCES']"
Raising taxes to spend more on welfare is a political loser .,['OTHER']
"The problem , in their view , is that even if it does n't create mass joblessness , legislating higher wages specifically hurts the young and unskilled workers they ' re meant to help .","['UN/EMPLOYMENT_RATE', 'LOW-SKILLED']"
"Similarly , Marco Rubio protested that , "" if you raise the minimum wage , you ' re going to make people more expensive than a machine . """,['UN/EMPLOYMENT_RATE']
""" It ' s a lot lower than people think , "" Reich said .",['OTHER']
Because a little empathy might just offer a different perspective on life .,['OTHER']
So might a handful of Republicans looking to demonstrate that they too care about stagnant incomes for low-wage workers .,['SOCIAL_JUSTICE/INJUSTICE']
"Apparently , you ’re not aware of the student loan crisis taking place , where student loan debt is at a record high by exponents , and many students are unable to pay .",['OTHER']
"And of course , you can also expect to hear conservatives shout back that the idea is a job killer .",['UN/EMPLOYMENT_RATE']
"And Theman , while your thought is understandable , they certainly are false choices .",['OTHER']
"There are some people who are not academic , does that mean they have to be poor ?",['SOCIAL_JUSTICE/INJUSTICE']
""" If they want good jobs , they need to go to school ! """,['MOTIVATION/CHANCES']
"One of the consequences is that young people who are trapped in poor neighborhoods will have less opportunities to learn skills and move forward . """,['MOTIVATION/CHANCES']
"“ The loss of jobs and the cost of living increase will only hurt our economy , not help it , ” he says .","['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT', 'PRICES']"
Many people in that position are there because they are financially unable to gain more education .,['MOTIVATION/CHANCES']
Some say it actually hurts low-wage workers — businesses will be less likely to hire them .,['UN/EMPLOYMENT_RATE']
Do you think someone making $ 8hr can afford to go to college ?,['MOTIVATION/CHANCES']
CARSON : I would not raise it .,['OTHER']
"He told the Washington Post last month that the minimum wage was “ a reminder to suburban independent voters that House Republicans are extreme , and out of touch . ”",['OTHER']
Education is not always the answer .,['OTHER']
""" Policymakers will compound the damage of a $ 15 minimum wage by arbitrarily targeting businesses with a recognizable brand for uniquely-harsh wage mandates , "" Michael Saltsman , the Washington , D.C. - based institute ' s research director , said in a statement .",['COMPETITION/BUSINESS_CHALLENGES']
"The CBO reported that this number is not a definite , and that 500,000 may be an overestimate or could be a low ball and job losses could get as high as 1 million .",['UN/EMPLOYMENT_RATE']
"While larger entities can tolerate the offset , smaller entities can not .",['COMPETITION/BUSINESS_CHALLENGES']
""" Business owners do n’t create more jobs when they have more money in their own pockets , "" he writes .",['UN/EMPLOYMENT_RATE']
"When we have 20 million people out of work , I think it ' s a bad idea to raise it . """,['UN/EMPLOYMENT_RATE']
