sentence,labels
"That last argument is underscored by the exorbitant salaries earned by CEOs and other corporate titans , which are also the same people generally arguing against an increase in the minimum wage .",['CAPITAL_VS_LABOR']
The movement for a minimum wage was initially focused on stopping sweatshop labor and controlling the proliferation of sweatshops in manufacturing industries .,['CAPITAL_VS_LABOR']
It is a way to protect workers from less than fair employers .,['CAPITAL_VS_LABOR']
"Other countries , such as Sweden , Finland , Denmark , Switzerland , Austria , and Italy , have no minimum wage laws , but rely on employer groups and trade unions to set minimum earnings through collective bargaining .",['CAPITAL_VS_LABOR']
"The sweatshops employed large numbers of women and young workers , paying them what were considered to be substandard wages .",['CAPITAL_VS_LABOR']
"One complicating factor is possible monopsony in the labor market , whereby the individual employer has some market power in determining wages paid .",['CAPITAL_VS_LABOR']
"Although companies are experiencing greater productivity , since the ‘ 70s , less of the share of wealth created from that productivity has been going towards workers ( Check out this EPI article for more details ) .",['CAPITAL_VS_LABOR']
"A 2014 study by Alex Smith , PhD , Assistant Professor of Economics at the United States Military Academy at West Point , found that "" an increase in the minimum wage from $ 7.25 to $ 10.10 ( 39 % ) ... would lead to a 2-4 percentage point decrease in the likelihood that a low-SES [ socio-economic status ] teen will drop out . """,['MOTIVATION/CHANCES']
"Where does this leave job candidates who do n’t arrive readymade , with all the skills they need to climb the corporate ladder thanks to Mom , Dad , and good old Selective U . ?",['MOTIVATION/CHANCES']
"According to a 2003 study by economists David Neumark , PhD , and William Wascher , PhD , in states where teens can leave school before 18 , a 10 % increase in the minimum wage caused teenage school enrollment to drop by 2 % .",['MOTIVATION/CHANCES']
Do you think someone making $ 8hr can afford to go to college ?,['MOTIVATION/CHANCES']
"The lower the minimum wage , the more eager a minimum wage worker would be to enroll in a community college course at night , improve his or her skills , and apply for a higher-paying job .",['MOTIVATION/CHANCES']
Raising the minimum wage would decrease employee benefits and increase tax payments .,['MOTIVATION/CHANCES']
"Source : Emma Roller , "" Carly Fiorina : Raising the Minimum Wage Will Lead to ' Less Opportunity ' , "" National Journal , Aug. 17 , 2015 [ Editor ' s Note : Fiorina said in this quote and on other occasions that there should not be a federal minimum wage , which is why we have classified her position as being "" Con "" to raising the federal minimum wage . ]",['MOTIVATION/CHANCES']
"If politicians want to increase the earned income tax credit or other work-related welfare benefits , they should do the hard work of building political support for such policies , rather than choosing the roundabout approach of a minimum wage increase .",['WELFARE']
Raising minimum wage means some of these people would be able to better support themselves without leaning as heavily on social programs and this would ultimately mean lower taxes or a reallocation of those funds to support other needs .,['WELFARE']
The ability of the earned income tax credit to deliver larger monetary benefits to the poor workers than an increase in the minimum wage and at a lower cost to society was documented in a 2007 report by the Congressional Budget Office .,['WELFARE']
For example in the fast food industry alone research by the University of Illinois and UC Berkeley documents that taxpayers pay about $ 243 billion each year in indirect subsidies to the fast food industry because they pay wages so low that taxpayers must put up $ 243 billion to pay for public benefits for their workers .,['WELFARE']
"Some staff at the Seattle-area nonprofit organization , Full Life Care , asked for a reduction in hours after the minimum wage was raised , citing concerns that the increase will mean they lose their housing subsidies yet they are still unable to afford market-rate rents .",['WELFARE']
Reduced Expense for Social Programs : Employees surviving at minimum wage are also often the same people who must rely on additional support of government run social programs to support themselves and their families on such a small amount of income .,['WELFARE']
For people that work and depend on the government for some sort of subsidy like food stamps ( the food and nutrition program through the USDA ) they would lose the bulk of the assistance which would NOT make up for the loss of benefits .,['WELFARE']
Thus this price effect may harm the very people whom a minimum wage is supposed to help .,['PRICES']
"The team found no measurable price hike at all at grocery stores , gas stations or retail outlets .",['PRICES']
"Meanwhile , Burger King and McDonald ' s can raise their prices a little bit without scaring off customers .",['PRICES']
"Or , we all will be paying more for our provisions .",['PRICES']
"She added that the costs of goods and services that lower-income people may rely on , such as fast food , would become more expensive .",['PRICES']
Another reason that employment may not fall is that businesses pass along some of the cost of a higher minimum wage to consumers through higher prices .,['PRICES']
Raising the minimum wage would increase housing costs .,['PRICES']
"After the president ' s speech , House Speaker John Boehner argued that raising the minimum wage would raise unemployment .",['UN/EMPLOYMENT_RATE']
"Translated out of econo-speak , that means that the price for labor is set artificially high , with more people willing to work than business will be able to hire .",['UN/EMPLOYMENT_RATE']
"“ The minimum wage has caused more misery and unemployment than anything since the Great Depression , ” Ronald Reagan said in 1980 .",['UN/EMPLOYMENT_RATE']
Increasing the cost of job creation now is unwise .,['UN/EMPLOYMENT_RATE']
"According to basic economics , a price floor creates a surplus , meaning that the labor supply is greater than the demand .",['UN/EMPLOYMENT_RATE']
"But $ 15 , it ' s gon na destroy jobs . """,['UN/EMPLOYMENT_RATE']
""" What you ought to do is make it easier to hire people . """,['UN/EMPLOYMENT_RATE']
"If there is an increase in a minimum wage , it could have far-reaching effects on industries that do n't pay it .",['COMPETITION/BUSINESS_CHALLENGES']
"This could cause companies to face financial distress , or possible face closing down if they find that paying their employees is not going to be financially available anymore .",['COMPETITION/BUSINESS_CHALLENGES']
But it ’s possible that productivity also rises because the higher minimum attracts more efficient workers to the labor pool .,['COMPETITION/BUSINESS_CHALLENGES']
"If I am making $ 15 right now at a bank , and someone is making $ 12 at a fast-food restaurant , and that gets raised to $ 15 , it creates pressure to raise the wages of that bank teller .",['COMPETITION/BUSINESS_CHALLENGES']
"Yeah , those were bullshit — no more restaurants were closing than normal , and the ones that did had nothing to do with the wage hike .",['COMPETITION/BUSINESS_CHALLENGES']
( Others argue that healthy corporate profits show that firms have plenty of room to accommodate pay rises . ),['COMPETITION/BUSINESS_CHALLENGES']
It is commonly argued that raising the minimum wage will hurt businesses by making them less profitable and decreasing their value to shareholders .,['COMPETITION/BUSINESS_CHALLENGES']
"About 70 percent of minimum wage employees , however , work fewer than 35 hours per week and thus earn proportionately less , according to federal labor statistics .",['YOUTH_AND_SECONDARY_WAGE_EARNERS']
"✔ Low-wage earners make over half of their family ' s income , and 28 % of them have children .",['YOUTH_AND_SECONDARY_WAGE_EARNERS']
Not true : The typical minimum wage worker is not a high school student earning weekend pocket money .,['YOUTH_AND_SECONDARY_WAGE_EARNERS']
"Myth 3 : “ The minimum wage is for part-time workers , and people are n’t relying on it to actually support a household . ”",['YOUTH_AND_SECONDARY_WAGE_EARNERS']
"According to the Department of Labor , over half of people paid at minimum wage work a full-time schedule , and minimum wage workers contribute 46 percent of their household ’s income .",['YOUTH_AND_SECONDARY_WAGE_EARNERS']
This excuse for keeping a low minimum wage is similar to the “ they ’re just teenagers ” argument .,['YOUTH_AND_SECONDARY_WAGE_EARNERS']
"“ The typical worker who would be affected by an increase in the minimum wage to $ 10.10 per hour by 2015 looks nothing like the part-time , teen stereotype : She is in her early thirties , works full-time , and may have a family to support . ”",['YOUTH_AND_SECONDARY_WAGE_EARNERS']
"According to the Economic Policy Institute , the minimum wage in the United States would have been $ 18.28 in 2013 if the minimum wage had kept pace with labor productivity .",['SOCIAL_JUSTICE/INJUSTICE']
"Not only that , but as one of the law ’s proponents said in the hearings regarding the figure of 40 cents an hour that was being discussed at the time ( around $ 6.60 in 2015 dollars ) : “ it would be a calamity if such a wage minimum as that referred to should in any way be construed as a living wage . ”",['SOCIAL_JUSTICE/INJUSTICE']
"The groundswell of support from unions , as well as Democratic politicians , has made a $ 15 minimum wage a popular option for addressing what Orrenius described as the bigger underlying problem : growing income inequality .",['SOCIAL_JUSTICE/INJUSTICE']
And it is clearly desirable for households that engage in full-time work not to live in poverty .,['SOCIAL_JUSTICE/INJUSTICE']
"Raising the minimum wage is not , by any stretch , a poverty panacea .",['SOCIAL_JUSTICE/INJUSTICE']
"But if all we do is raise the minimum wage , I ' ll worry we ' re missing a chance to lift people out of poverty for good , and that a few years from now , we ' ll be having this same conversation — again .",['SOCIAL_JUSTICE/INJUSTICE']
"Among the 34 Organisation for Economic Cooperation and Development ( OECD ) member countries , the United States has one of the highest levels of income inequality , with only Chile , Mexico , and Turkey having higher levels of income inequality .",['SOCIAL_JUSTICE/INJUSTICE']
This knee - jerk response to look to the government to solve all of our problems is simply untenable and indefensible .,['GOVERNMENT']
"If someone wants to work for $ 5 an hour , and someone wants to hire that person for that much , and no one is forcing either one of them to enter into the agreement , by what authority does government step in and stop them ?",['GOVERNMENT']
"Even if the freedom of contract is n’t protected by the Constitution , it ’s a natural right that should not be infringed .",['GOVERNMENT']
It ’s no surprise that the government can not simply wave its magic wand and force businesses to pay higher wages without any negative side effects .,['GOVERNMENT']
"The Supreme Court , in its opinion in the 1923 case Adkins v . Children ’s Hospital of District of Columbia , made a strong argument that a minimum wage was a violation of the constitutionally guaranteed freedom of contract embedded in the Fifth Amendment ’s language about due process and the deprivation of liberty and property .",['GOVERNMENT']
Private industry and the free market are already taking care of it .,['GOVERNMENT']
"If two free people want to enter into a voluntary , consensual agreement that does n’t infringe on anyone else ’s rights , why should the government stop them ?",['GOVERNMENT']
Not true : Academic research has shown that higher wages sharply reduce employee turnover which can reduce employment and training costs .,['TURNOVER']
"A higher minimum wage might also decrease turnover and thus keep training costs down , supporters say .",['TURNOVER']
This important because they can make more money because less people are likely to quit .,['TURNOVER']
"In fact , the increase provided businesses with greater staffing stability , which saves money .",['TURNOVER']
"This means there would be a lower turnover rate , which results in fewer expenses to hire and train new employees .",['TURNOVER']
Academic research also has shown that higher wages sharply reduce employee turnover which can reduce employment and training costs .,['TURNOVER']
"For example , higher wages tend to reduce turnover , so employers will save on hiring and training new employees .",['TURNOVER']
The minimum wage will price the services of the least productive ( and therefore lowest-wage ) workers out of the market .,['LOW-SKILLED']
Companies can be more selective in those whom they employ thus the least skilled and least experienced will typically be excluded .,['LOW-SKILLED']
"From an employer ' s perspective , people with the lowest skill levels can not justify higher wages .",['LOW-SKILLED']
""" When legislators raise the price of low - and unskilled labor , it ’s usually low - and unskilled laborers who end up paying the price , "" Boston Globe columnist Jeff Jacoby wrote in a piece last week .",['LOW-SKILLED']
"Or they might start hiring older , more experienced workers in lieu of teenagers to get more bang for their buck .",['LOW-SKILLED']
"Minimum-wage legislation , by its very nature , benefits some at the expense of the least experienced , least productive , and poorest workers . """,['LOW-SKILLED']
"The high-risk scenario is that Neumark and Wascher are right , and a minimum-wage hike to $ 10.10 an hour cuts teen employment by up to 12 percent ( for econ nerds : that ' s assuming an elasticity of - 0.1 to - 0.3 , with an increase of 40 percent ) .",['LOW-SKILLED']
Myth : Increasing the minimum wage is bad for the economy .,['ECONOMIC_IMPACT']
Poorer people typically spend a larger fraction of their income than more affluent people .,['ECONOMIC_IMPACT']
One of the most common arguments for increasing the minimum wage is that it will stimulate the economy .,['ECONOMIC_IMPACT']
"It ’s also absurd on its face , because it assumes the economy wo n’t ultimately adjust to a new wage baseline .",['ECONOMIC_IMPACT']
And then we ' ll start paying down the national debt instead of borrowing more money from China to spend some money we do n't have .,['ECONOMIC_IMPACT']
As a matter of record that con is largely unfounded because studies have shown that the higher wages actually helps to increase spending in the economy and increases overall growth of the economy .,['ECONOMIC_IMPACT']
"In 2012 , Michael Reich published an economic analysis that suggested that a proposed minimum wage hike in San Diego might stimulate the city ' s economy by about $ 190 million .",['ECONOMIC_IMPACT']
