sentence,labels
Reprocessing spent fuel gives rise to plutonium which is likely to be used in bombs .,['WEAPONS']
"Italy , Belgium , Spain and Switzerland have also principally decided to become nuclear energy-free .",['ENERGY_POLICY']
Clearly a campaign which effectively does away with nuclear power does not automatically do away with centralised systems of political and economic control .,['ENERGY_POLICY']
Lower gasoline prices over the past year are likely driving greater opposition toward the use of nuclear power .,['FOSSIL_FUELS']
Terrorists target people with nuclear power and killl them .,['ACCIDENTS/SECURITY']
"If nuclear weapons were to have a future , perfecting them as the ultimate weapon of mass destruction needed some other justification than the annihilation of entire cities that left behind a multigenerational legacy of radiation poisoning .",['WEAPONS']
"If the industry disappears here , it will be very difficult to rebuild as China and Russia becomes world leaders in nuclear technology .",['ENERGY_POLICY']
"While not completely opposed to atomic energy , they point out that it has its own environmental perils .",['ENVIRONMENTAL_IMPACT']
"Not only has a terrorist never attempted to blow up a nuclear power plant , there is , a ) no evidence that a terrorist group is plotting to blow up one , and b ) a terrorist would never attempt to do such a thing .",['ACCIDENTS/SECURITY']
"Thus some scientists can work on weapons of mass destruction because the political decisions regarding these weapons are made at a distance , in an apparently legitimate forum .","['ENERGY_POLICY', 'WEAPONS']"
Nuclear power plants are vulnerable to terrorist attacks .,['ACCIDENTS/SECURITY']
"Each year from 2004 to 2015 , a majority of Americans said they favored the use of nuclear energy , including a high of 62 % in 2010 .",['PUBLIC_DEBATE']
In 1983 the people in the Bega Valley Shire voted to declare their area a nuclear-free zone .,['PUBLIC_DEBATE']
"Nuclear reactors are vulnerable to terrorist attacks like that on the World Trade Centre in 2001 , waste and spent fuel storage is even more so .",['ACCIDENTS/SECURITY']
The anti-uranium movement has used a wide variety of methods to inform and involve the community .,['PUBLIC_DEBATE']
"April 16th , 2006 : "" Nuclear reactors are vulnerable to terrorist attack .",['ACCIDENTS/SECURITY']
"The proliferation of nuclear weapons is inextricably linked to nuclear power by a shared need for enriched uranium , and through the generation of plutonium as a by-product of spent nuclear fuel .",['WEAPONS']
"Additionally , nuclear power is a technology-intensive industry in which the United States has traditionally led the world .",['ENERGY_POLICY']
"In challenging nuclear power as an inappropriate direction for economic investment , a challenge is made to the setting of economic priorities by corporations and the state .",['ENERGY_POLICY']
[ T ] he nuclear industry and those that purport to regulate it have down played the potential of such an accident .,['ACCIDENTS/SECURITY']
"However , the treaty itself is fatally flawed because it contains an intractable contradiction : in exchange for offering technology and nuclear know-how from established nuclear powers to set up civil nuclear programs , countries that sign on to the treaty agree not to divert material into a weapons program .","['ENERGY_POLICY', 'WEAPONS']"
"For example , small businesses can be involved in efforts towards introducing community-scale renewable energy systems and feminists can be involved in efforts which address the patriarchal roots of nuclear power .",['RENEWABLES']
"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",['WEAPONS']
"Nuclear power has widespread social effects , but promoters of nuclear power claim the decisions must be taken by political and scientific elites .",['ENERGY_POLICY']
"Today , the dangerous weapons programs in both Iran and North Korea are linked to their civilian reactor programs .",['WEAPONS']
"A 2009 report by Citibank , an institution that has rarely met a risky investment it could say no to , highlighted in the title of its report on nuclear power what its analysis showed : “ New Nuclear : The Economics Say No . ”",['OTHER']
"The reason governments , in general , favor nuclear energy is because of the vast amounts of money pumped into the lobbying efforts by power companies .",['ENERGY_POLICY']
Nuclear power simultaneously provides a power base for the nuclear elites while increasing state power .,['ENERGY_POLICY']
"But as we know there is nothing "" peaceful "" about all things nuclear .",['WEAPONS']
"They really are very safe , but the public opinion in countries currently not using nuclear power is predominantly against nuclear energy .","['ACCIDENTS/SECURITY', 'PUBLIC_DEBATE']"
The intimate connection between nuclear power production and nuclear weapons is inescapable .,['WEAPONS']
Nuclear power plants as well as nuclear waste could be preferred targets for terrorist attacks .,['ACCIDENTS/SECURITY']
I do agree that if more members of the public were aware if the limitations of renewables and the need for nuclear power it is more likely that action would be taken .,['RENEWABLES']
"Most of those countries with the greatest stake in nuclear power - United States , Japan , Soviet Union , France , West Germany , Britain - are the most powerful economically .",['ENERGY_POLICY']
In this case the nuclear-free zone campaign provided a channel for exposing and challenging the role of nuclear expertise and elites in promoting nuclear power .,['ENERGY_POLICY']
"Today , nuclear energy is used to make weapons .",['WEAPONS']
"Nuclear power , by virtue of its large size , centralised production of electricity and dependence on experts , was suitable for control by state bureaucracies .",['ENERGY_POLICY']
"A typical grassroots activity has been the creation of nuclear-free zones , which is mainly a symbolic action which helps raise awareness and encourage local groups to openly oppose nuclear power .",['PUBLIC_DEBATE']
Already nuclear power development has been used repeatedly as a cover for developing nuclear weapons .,['WEAPONS']
"Of course it is important to discuss the technical aspects of nuclear power , but it is at least as important to explore ways to reduce the influence of those who unalterably oppose nuclear power .",['PUBLIC_DEBATE']
It has exploded in Japan and people still say they want the nuclear power but they should n't have nuclear power because it has already killed millions of Japanese people .,['PUBLIC_DEBATE']
Probably those who receive considerable income from coal also oppose nuclear power ; I shall refrain from mentioning names .,['FOSSIL_FUELS']
"If the world adopts nuclear power as a primary source of energy , it will cause uranium wars in the same way oil cause oil wars .",['FOSSIL_FUELS']
It is futile to expect the government on its own - whatever its platform may be - to readily oppose aspects of the nuclear fuel cycle .,['ENERGY_POLICY']
"We can not be sure that our uranium does not end up in weapons , eg in France or China .",['WEAPONS']
"Barrie Machin , as coordinator , first drew attention to the dangers of Nuclear Power stations as target for terrorists , and the dangers of a link with the foreign policies of the US in a pamphlet titled : Accomplices to Armageddon .",['ACCIDENTS/SECURITY']
"In promoting nuclear power , and thereby entrenching centralised political and economic power , other consequences result which mobilise people in opposition : environmental effects ( especially radioactive waste ) , the connection with nuclear weapons , threats to Aboriginal land rights , threats to civil liberties , and many others .","['PUBLIC_DEBATE', 'ENERGY_POLICY', 'WEAPONS', 'ENVIRONMENTAL_IMPACT', 'WASTE']"
The support of nuclear power by government results from special pleading lobbying by the industry .,['ENERGY_POLICY']
Widespread commercial take up is severely limited due to popular misconceptions about the dangers of nuclear power .,"['ACCIDENTS/SECURITY', 'PUBLIC_DEBATE']"
New nuclear reprocessing systems reduce risks of weapons-use Reprocessing systems can be designed to make it more difficult to re-direct nuclear fuel into weapons-grade nuclear materials .,['WEAPONS']
"We are alarmed by people who want to close the door on nuclear , and so that is why we are more outspoken than we might have been a few years ago , he said in a phone interview .",['OTHER']
"Major anti-uranium rallies and marches were held each year in most large cities , especially in the peak years of the uranium debate , 1976-1979 and again since 1983 .",['PUBLIC_DEBATE']
Both sides of federal politics have said they ' re against it and have been for ages .,['ENERGY_POLICY']
Therefore the world can not free itself from nuclear weapons while reactors and nuclear fuel chain facilities such as uranium enrichment and reprocessing factories exist .,['WEAPONS']
It supported attempts to establish regional nuclear free zones .,['OTHER']
"Nuclear power goes against the will of the people : Ever since the Fukushima disaster in 2011 , the bulk of the Japanese public has been against nuclear energy .",['PUBLIC_DEBATE']
"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']"
"There are many types of facilities that are far more vulnerable , including liquid natural gas plants , chemical plants and numerous political targets . """,['FOSSIL_FUELS']
"Reactors , with the piles of nuclear materials , are prime terrorists targets .",['ACCIDENTS/SECURITY']
Nuclear power is not an automatic or inevitable development .,['OTHER']
"In 2001 the Economist , a publication with its heart firmly in the camp of “ free-market ” capitalism wrote : “ Nuclear Power , once claimed to be too cheap to meter , is now too costly to matter . ”",['COSTS']
"More fundamentally , nuclear power represents a potential new stage in the entrenchment of centralised political and economic control and of specialist knowledge in the service of elites .",['ENERGY_POLICY']
"True liberals who value their neighbors and wish them to have ever increasing opportunities to pursue life , freedom , and individual decision-making have never been opposed to nuclear energy if they knew anything about it .",['PUBLIC_DEBATE']
"Former US Vice-President Al Gore said ( 18 / 9 / 06 ) : "" During my eight years in the White House , every nuclear weapons proliferation issue we dealt with was connected to a nuclear reactor program .",['WEAPONS']
"Nuclear reactors are major targets for terrorists : Because of the potential threat of mass destruction , nuclear power plants are major targets for terrorists .",['ACCIDENTS/SECURITY']
"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS']
"Direct pressure to stop nuclear power helps restrain the expansion of the power of the state , technocracy and other institutions behind nuclear power .",['ENERGY_POLICY']
Use of nuclear power by the U.S. will encourage nuclear proliferation by third-world countries and often leads to nuclear weapon development and the risk of nuclear war .,['WEAPONS']
"* Was it because many of them were funded by foreign countries ( the USSR , or Arab countries in the case of the anti-Zionist left ) that had a vested interest in selling fossil fuel ?","['ENERGY_POLICY', 'FOSSIL_FUELS']"
"Of the 10 nations which have developed nuclear weapons ‘ six did so with political cover and / or technical support from their supposedly peaceful nuclear program – India , Pakistan , Israel , South Africa , North Korea and France ’ 3 .",['WEAPONS']
Hot Target for Militants : Nuclear energy has immense power .,['ACCIDENTS/SECURITY']
"Reverting back to nuclear energy is a grave and dangerous move on Japan ’s part , a move that could potentially threaten the entire globe .",['ACCIDENTS/SECURITY']
"Opposing nuclear power can be done at different levels : education , community activities , rallies and civil disobedience to apply pressure within existing institutions , and at the same time efforts for long-term institutional change towards equality , participation and democracy .",['PUBLIC_DEBATE']
"When we think about this resource , many of us think about nuclear bombs or the meltdowns that have happened at a number of nuclear plants around the world .","['WEAPONS', 'ACCIDENTS/SECURITY']"
This appears to have resulted in more Americans prioritizing environmental protection and fewer backing nuclear power as an alternative energy source .,"['ENVIRONMENTAL_IMPACT', 'PUBLIC_DEBATE']"
"And there is always the risk of nuclear proliferation , where nuclear power plants are diverted to help make weapons for countries or terrorist groups .",['WEAPONS']
Citizens do not want nuclear weapons because they know they are insanely dangerous and what they want is to live without the threat of sudden and complete annihilation hanging over them and their children at all times .,['WEAPONS']
"The 54 % opposing it is up significantly from 43 % a year ago , while the 44 % who favor using nuclear energy is down from 51 % .",['PUBLIC_DEBATE']
Target for terrorism ( as are all centralized power generation sources ) .,['ACCIDENTS/SECURITY']
But just because nuclear technology can be put to evil purposes is not an argument to ban its use .,['WEAPONS']
An emphasis on nuclear power must not obscure the fact that other energy technologies can also fulfil the same socially destructive role that nuclear power plays .,['OTHER']
This puts them at the mercy of the rich and more technically advanced states if they go down the nuclear power route .,['ENERGY_POLICY']
Nuclear power carries with it the risk of nuclear terrorism .,['WEAPONS']
No atomic energy plant in the world could withstand an attack similar to 9 / 11 in New York .,['ACCIDENTS/SECURITY']
"Every dollar spent on nuclear is one less dollar spent on clean renewable energy and one more dollar spent on making the world a comparatively dirtier and a more dangerous place , because nuclear power and nuclear weapons go hand in hand .","['WEAPONS', 'RENEWABLES']"
"A comprehensive 2003 MIT report , The Future of Nuclear Power , made it clear what the difficulties of expanding nuclear power were .",['OTHER']
If terrorist came they could target a nuclear plant then hundreds of people will die .,['ACCIDENTS/SECURITY']
"Moreover , power reactors themselves produce plutonium , which may be used in bombs .",['WEAPONS']
Both were members of David Rockefeller ’s Trilateral Commission and both favored fossil fuel interests over increased use of nuclear energy .,['FOSSIL_FUELS']
Inside critics have played a crucial role in campaigns against nuclear power by providing information about political developments and occasionally speaking out in public against them .,['PUBLIC_DEBATE']
"In previous years , as many as three in four Republicans were in favor of nuclear energy , peaking at 76 % in 2009 .",['OTHER']
"Opponents also question the negative health effects nuclear energy can expose to the public , in addition to the workers who interact with the matter on a daily basis .",['HEALTH_EFFECTS']
"Nuclear power is a large-scale vulnerable point in the structures of the state , capitalism and so forth .",['OTHER']
"What needs to be done is to focus on vulnerable points within the structures promoting nuclear power , and to devote efforts in these areas .",['OTHER']
"While this approach does have some merit for example in saving an area from irreversible environmental destruction , it is inadequate as an approach to stopping mining or transforming the structures underlying nuclear power .",['ENVIRONMENTAL_IMPACT']
"Go look up some of Will Saletan ’s fantastic work on this topic on SLATE and I think you ’ll very quickly recognize the same anti-science , caution-in-spite-of-evidence to-the-point-of-hysteria patterns that underpin the nuclear power debate .",['PUBLIC_DEBATE']
"I am convinced that many of our politicians are well aware that developing a superior nuclear technology is imperative , but they see it as political suicide even to mention nuclear power .",['ENERGY_POLICY']
"I ’d rather urge people to challenge some of their basic assumptions ( specifically , that ‘ green energy ’ companies are benevolent ) ; so a key pillar of any pro-nuke argument has to be to remind lefties that green business is still business .",['PUBLIC_DEBATE']
Nowhere in the world is nuclear power subsidised – on the contrary in Sweden and Germany it has a special tax .,['ENERGY_POLICY']
So yes there are cons but when I consider the density of energy produced I to become a big supporter of TMSR .,['TECHNOLOGICAL_INNOVATION']
"A terrorist strike on a nuclear facility could be devastating "" Nuclear ’s Fatal Flaws : Security "" .",['ACCIDENTS/SECURITY']
"After the accident at the U.S. nuclear power plant Three Mile Island in 1979 , around 200,000 people took to the streets in Hannover and Bonn , demonstrating against the use of nuclear power .","['ACCIDENTS/SECURITY', 'PUBLIC_DEBATE']"
"In addition , the same know-how used to design nuclear power plants can to a certain extent be used to build nuclear weapons ( nuclear proliferation ) .",['WEAPONS']
Nuclear power was attractive to governments and state bureaucracies for several reasons .,['ENERGY_POLICY']
"Terrorism : The opportunity for theft by terrorists of nuclear materials usable in even a "" dirty bomb "" would susbtantially increase if nuclear power is expanded .","['WEAPONS', 'ACCIDENTS/SECURITY']"
Nuclear power has already been subsidized to the tune of hundreds of billions of dollars over the past 50 years .,['ENERGY_POLICY']
"However , it came up against a world of a growing environmental movement and the 1970 ' s and 1980 ' s saw a slowdown in building of reactors and a general negative perception of their use ( 3 , p3-5 ) .",['ENVIRONMENTAL_IMPACT']
"1 million Europeans against nuclear power : "" Although nuclear power is a hazardous business , the nuclear industry hardly has any financial liability .",['PUBLIC_DEBATE']
"Reactors are themselves terrorist targets and current ones are not even defended to the level of the 9 / 11 assault – 19 men in four teams , including air attack scenarios .",['ACCIDENTS/SECURITY']
"It is a a whole distraction , and people should know better than to propose nuclear energy , because people who are working in this field know it is not going to go anywhere , he said .",['PUBLIC_DEBATE']
The rise of environmental consciousness and the fears of nuclear fallout have done much to militate against widespread enthusiasm for nuclear energy .,['ENVIRONMENTAL_IMPACT']
