,precision,recall,f1-score,support
ADDICTION,0.875,0.5833333333333334,0.7,12.0
CHILD_AND_TEEN_SAFETY,0.4523809523809524,0.9047619047619048,0.6031746031746031,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.6944444444444444,0.6410256410256411,0.6666666666666666,39.0
DRUG_ABUSE,0.47619047619047616,0.8333333333333334,0.6060606060606061,12.0
DRUG_POLICY,0.45161290322580644,0.7368421052631579,0.56,19.0
GATEWAY_DRUG,1.0,1.0,1.0,11.0
HARM,0.5714285714285714,0.4444444444444444,0.5,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.4794520547945205,0.9459459459459459,0.6363636363636364,37.0
ILLEGAL_TRADE,0.42105263157894735,0.9411764705882353,0.5818181818181818,17.0
LEGAL_DRUGS,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
MEDICAL_MARIJUANA,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
NATIONAL_BUDGET,0.8,0.8695652173913043,0.8333333333333334,23.0
PERSONAL_FREEDOM,1.0,0.75,0.8571428571428571,8.0
micro avg,0.5889212827988338,0.7829457364341085,0.6722129783693843,258.0
macro avg,0.6800468963916414,0.7792938886884652,0.6990438951729274,258.0
weighted avg,0.6485222562635887,0.7829457364341085,0.6841243535992224,258.0
samples avg,0.6604651162790697,0.8155038759689922,0.7013953488372093,258.0
