,precision,recall,f1-score,support
ADDICTION,1.0,0.75,0.8571428571428571,12.0
CHILD_AND_TEEN_SAFETY,0.4318181818181818,0.9047619047619048,0.5846153846153846,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.7241379310344828,0.5384615384615384,0.6176470588235294,39.0
DRUG_ABUSE,0.5,0.6666666666666666,0.5714285714285714,12.0
DRUG_POLICY,0.5,0.7894736842105263,0.6122448979591837,19.0
GATEWAY_DRUG,1.0,0.9090909090909091,0.9523809523809523,11.0
HARM,0.4444444444444444,0.4444444444444444,0.4444444444444444,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.515625,0.8918918918918919,0.6534653465346535,37.0
ILLEGAL_TRADE,0.43243243243243246,0.9411764705882353,0.5925925925925926,17.0
LEGAL_DRUGS,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
MEDICAL_MARIJUANA,0.8571428571428571,0.75,0.8,24.0
NATIONAL_BUDGET,0.8181818181818182,0.782608695652174,0.8,23.0
PERSONAL_FREEDOM,0.75,0.75,0.75,8.0
micro avg,0.5950920245398773,0.751937984496124,0.6643835616438356,258.0
macro avg,0.6689234528674184,0.7602524683170179,0.6906784037522548,258.0
weighted avg,0.6508000994080083,0.751937984496124,0.6747973735493819,258.0
samples avg,0.6655038759689922,0.7798449612403102,0.6948837209302325,258.0
