,precision,recall,f1-score,support
ADDICTION,0.96 ± 0.06,0.67 ± 0.07,0.79 ± 0.06,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.45 ± 0.01,0.92 ± 0.02,0.60 ± 0.01,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.70 ± 0.02,0.60 ± 0.04,0.64 ± 0.02,39.00 ± 0.00
DRUG_ABUSE,0.53 ± 0.05,0.75 ± 0.07,0.61 ± 0.04,12.00 ± 0.00
DRUG_POLICY,0.45 ± 0.05,0.75 ± 0.02,0.56 ± 0.04,19.00 ± 0.00
GATEWAY_DRUG,1.00 ± 0.00,0.97 ± 0.04,0.98 ± 0.02,11.00 ± 0.00
HARM,0.47 ± 0.08,0.44 ± 0.00,0.45 ± 0.04,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.51 ± 0.02,0.92 ± 0.02,0.66 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.43 ± 0.01,0.94 ± 0.00,0.59 ± 0.01,17.00 ± 0.00
LEGAL_DRUGS,0.77 ± 0.04,0.73 ± 0.06,0.75 ± 0.03,17.00 ± 0.00
MEDICAL_MARIJUANA,0.85 ± 0.01,0.79 ± 0.03,0.82 ± 0.01,24.00 ± 0.00
NATIONAL_BUDGET,0.80 ± 0.02,0.80 ± 0.05,0.80 ± 0.03,23.00 ± 0.00
PERSONAL_FREEDOM,0.92 ± 0.12,0.75 ± 0.00,0.82 ± 0.05,8.00 ± 0.00
micro avg,0.59 ± 0.00,0.77 ± 0.01,0.67 ± 0.00,258.00 ± 0.00
macro avg,0.68 ± 0.01,0.77 ± 0.01,0.70 ± 0.01,258.00 ± 0.00
weighted avg,0.65 ± 0.00,0.77 ± 0.01,0.68 ± 0.00,258.00 ± 0.00
samples avg,0.66 ± 0.00,0.80 ± 0.01,0.70 ± 0.00,258.00 ± 0.00
