,precision,recall,f1-score,support
ADDICTION,0.1702127659574468,0.6666666666666666,0.2711864406779661,12.0
CHILD_AND_TEEN_SAFETY,0.2,1.0,0.3333333333333333,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.3118279569892473,0.7435897435897436,0.4393939393939394,39.0
DRUG_ABUSE,0.1746031746031746,0.9166666666666666,0.29333333333333333,12.0
DRUG_POLICY,0.175,0.7368421052631579,0.2828282828282828,19.0
GATEWAY_DRUG,0.2127659574468085,0.9090909090909091,0.3448275862068966,11.0
HARM,0.2,0.7222222222222222,0.3132530120481928,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.25,0.8918918918918919,0.3905325443786982,37.0
ILLEGAL_TRADE,0.17582417582417584,0.9411764705882353,0.2962962962962963,17.0
LEGAL_DRUGS,0.25862068965517243,0.8823529411764706,0.4,17.0
MEDICAL_MARIJUANA,0.28378378378378377,0.875,0.42857142857142855,24.0
NATIONAL_BUDGET,0.23255813953488372,0.8695652173913043,0.3669724770642202,23.0
PERSONAL_FREEDOM,0.125,1.0,0.2222222222222222,8.0
micro avg,0.21791044776119403,0.8488372093023255,0.34679334916864607,258.0
macro avg,0.2130920495226687,0.8580819103497899,0.33713468433498534,258.0
weighted avg,0.23085161966854673,0.8488372093023255,0.3585526983658834,258.0
samples avg,0.356405906754744,0.8620155038759689,0.4584852615085173,258.0
