,precision,recall,f1-score,support
ADDICTION,0.1320754716981132,0.5833333333333334,0.2153846153846154,12.0
CHILD_AND_TEEN_SAFETY,0.21505376344086022,0.9523809523809523,0.3508771929824561,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.36046511627906974,0.7948717948717948,0.496,39.0
DRUG_ABUSE,0.15151515151515152,0.8333333333333334,0.2564102564102564,12.0
DRUG_POLICY,0.18823529411764706,0.8421052631578947,0.3076923076923077,19.0
GATEWAY_DRUG,0.18,0.8181818181818182,0.29508196721311475,11.0
HARM,0.15714285714285714,0.6111111111111112,0.25,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.30578512396694213,1.0,0.46835443037974683,37.0
ILLEGAL_TRADE,0.13829787234042554,0.7647058823529411,0.23423423423423423,17.0
LEGAL_DRUGS,0.23728813559322035,0.8235294117647058,0.3684210526315789,17.0
MEDICAL_MARIJUANA,0.30666666666666664,0.9583333333333334,0.46464646464646464,24.0
NATIONAL_BUDGET,0.2558139534883721,0.9565217391304348,0.4036697247706422,23.0
PERSONAL_FREEDOM,0.0821917808219178,0.75,0.14814814814814814,8.0
micro avg,0.2166172106824926,0.8488372093023255,0.34515366430260047,258.0
macro avg,0.20850239900548026,0.8221852286885889,0.3276092611148896,258.0
weighted avg,0.2401653680657536,0.8488372093023255,0.3688425302591578,258.0
samples avg,0.35969953818791034,0.8643410852713177,0.4581492538469283,258.0
