,precision,recall,f1-score,support
ADDICTION,0.17 ± 0.03,0.69 ± 0.10,0.27 ± 0.04,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.20 ± 0.01,0.95 ± 0.04,0.33 ± 0.01,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.33 ± 0.02,0.75 ± 0.03,0.46 ± 0.03,39.00 ± 0.00
DRUG_ABUSE,0.17 ± 0.01,0.89 ± 0.04,0.28 ± 0.02,12.00 ± 0.00
DRUG_POLICY,0.19 ± 0.01,0.79 ± 0.04,0.30 ± 0.02,19.00 ± 0.00
GATEWAY_DRUG,0.21 ± 0.02,0.88 ± 0.04,0.33 ± 0.03,11.00 ± 0.00
HARM,0.18 ± 0.02,0.67 ± 0.05,0.29 ± 0.03,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.28 ± 0.02,0.95 ± 0.05,0.43 ± 0.03,37.00 ± 0.00
ILLEGAL_TRADE,0.16 ± 0.02,0.88 ± 0.08,0.28 ± 0.03,17.00 ± 0.00
LEGAL_DRUGS,0.27 ± 0.03,0.88 ± 0.05,0.41 ± 0.04,17.00 ± 0.00
MEDICAL_MARIJUANA,0.30 ± 0.01,0.93 ± 0.04,0.45 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.25 ± 0.01,0.90 ± 0.04,0.39 ± 0.02,23.00 ± 0.00
PERSONAL_FREEDOM,0.10 ± 0.02,0.88 ± 0.10,0.18 ± 0.03,8.00 ± 0.00
micro avg,0.22 ± 0.01,0.85 ± 0.01,0.35 ± 0.01,258.00 ± 0.00
macro avg,0.22 ± 0.01,0.85 ± 0.02,0.34 ± 0.01,258.00 ± 0.00
weighted avg,0.24 ± 0.01,0.85 ± 0.01,0.37 ± 0.01,258.00 ± 0.00
samples avg,0.36 ± 0.01,0.87 ± 0.01,0.46 ± 0.01,258.00 ± 0.00
