,precision,recall,f1-score,support
ADDICTION,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
CHILD_AND_TEEN_SAFETY,0.8,0.7619047619047619,0.7804878048780488,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.6122448979591837,0.7692307692307693,0.6818181818181818,39.0
DRUG_ABUSE,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
DRUG_POLICY,0.3181818181818182,0.7368421052631579,0.4444444444444444,19.0
GATEWAY_DRUG,0.9,0.8181818181818182,0.8571428571428571,11.0
HARM,0.4,0.1111111111111111,0.17391304347826086,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.6382978723404256,0.8108108108108109,0.7142857142857143,37.0
ILLEGAL_TRADE,0.47619047619047616,0.5882352941176471,0.5263157894736842,17.0
LEGAL_DRUGS,0.42857142857142855,0.35294117647058826,0.3870967741935484,17.0
MEDICAL_MARIJUANA,0.8260869565217391,0.7916666666666666,0.8085106382978723,24.0
NATIONAL_BUDGET,0.65625,0.9130434782608695,0.7636363636363637,23.0
PERSONAL_FREEDOM,0.46153846153846156,0.75,0.5714285714285714,8.0
micro avg,0.5913621262458472,0.689922480620155,0.6368515205724508,258.0
macro avg,0.6033168836200853,0.6656898455398614,0.6150240051642706,258.0
weighted avg,0.6098535456640742,0.689922480620155,0.6314546183054132,258.0
samples avg,0.6465821000704721,0.7255813953488373,0.6556946929039951,258.0
