,precision,recall,f1-score,support
ADDICTION,0.7692307692307693,0.8333333333333334,0.8,12.0
CHILD_AND_TEEN_SAFETY,0.6206896551724138,0.8571428571428571,0.72,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.62,0.7948717948717948,0.6966292134831461,39.0
DRUG_ABUSE,0.35714285714285715,0.4166666666666667,0.38461538461538464,12.0
DRUG_POLICY,0.34210526315789475,0.6842105263157895,0.45614035087719296,19.0
GATEWAY_DRUG,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
HARM,0.25,0.1111111111111111,0.15384615384615385,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.5882352941176471,0.8108108108108109,0.6818181818181818,37.0
ILLEGAL_TRADE,0.4166666666666667,0.5882352941176471,0.4878048780487805,17.0
LEGAL_DRUGS,0.35294117647058826,0.35294117647058826,0.35294117647058826,17.0
MEDICAL_MARIJUANA,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
NATIONAL_BUDGET,0.6363636363636364,0.9130434782608695,0.75,23.0
PERSONAL_FREEDOM,0.375,0.75,0.5,8.0
micro avg,0.5501519756838906,0.7015503875968992,0.616695059625213,258.0
macro avg,0.5348750244863442,0.6779326634506956,0.5880790171705692,258.0
weighted avg,0.551868355790003,0.7015503875968992,0.6095930016377175,258.0
samples avg,0.6476147883124627,0.7302325581395349,0.6603543743078626,258.0
