,precision,recall,f1-score,support
ADDICTION,0.79 ± 0.09,0.75 ± 0.12,0.77 ± 0.10,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.68 ± 0.08,0.81 ± 0.04,0.74 ± 0.03,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.60 ± 0.03,0.76 ± 0.03,0.67 ± 0.03,39.00 ± 0.00
DRUG_ABUSE,0.42 ± 0.05,0.53 ± 0.16,0.46 ± 0.09,12.00 ± 0.00
DRUG_POLICY,0.32 ± 0.01,0.70 ± 0.02,0.44 ± 0.01,19.00 ± 0.00
GATEWAY_DRUG,0.81 ± 0.09,0.85 ± 0.04,0.83 ± 0.05,11.00 ± 0.00
HARM,0.27 ± 0.10,0.09 ± 0.03,0.14 ± 0.04,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.62 ± 0.02,0.79 ± 0.03,0.69 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.42 ± 0.05,0.55 ± 0.06,0.47 ± 0.05,17.00 ± 0.00
LEGAL_DRUGS,0.40 ± 0.03,0.39 ± 0.06,0.39 ± 0.04,17.00 ± 0.00
MEDICAL_MARIJUANA,0.80 ± 0.02,0.83 ± 0.06,0.82 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.62 ± 0.04,0.91 ± 0.00,0.73 ± 0.03,23.00 ± 0.00
PERSONAL_FREEDOM,0.39 ± 0.05,0.71 ± 0.06,0.50 ± 0.06,8.00 ± 0.00
micro avg,0.56 ± 0.03,0.69 ± 0.01,0.62 ± 0.02,258.00 ± 0.00
macro avg,0.55 ± 0.04,0.67 ± 0.01,0.59 ± 0.02,258.00 ± 0.00
weighted avg,0.56 ± 0.03,0.69 ± 0.01,0.61 ± 0.02,258.00 ± 0.00
samples avg,0.64 ± 0.01,0.72 ± 0.01,0.65 ± 0.01,258.00 ± 0.00
