,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.4166666666666667,0.625,0.5,8.0
COMPETITION/BUSINESS_CHALLENGES,0.3488372093023256,0.7142857142857143,0.46875,21.0
ECONOMIC_IMPACT,0.4583333333333333,0.9166666666666666,0.6111111111111112,12.0
GOVERNMENT,0.7692307692307693,1.0,0.8695652173913043,10.0
LOW-SKILLED,0.5,0.9285714285714286,0.65,14.0
MOTIVATION/CHANCES,0.5652173913043478,0.65,0.6046511627906976,20.0
PRICES,0.6222222222222222,0.875,0.7272727272727273,32.0
SOCIAL_JUSTICE/INJUSTICE,0.7384615384615385,0.8135593220338984,0.7741935483870968,59.0
TURNOVER,1.0,0.8,0.8888888888888888,5.0
UN/EMPLOYMENT_RATE,0.7777777777777778,0.7142857142857143,0.7446808510638298,49.0
WELFARE,0.5,0.6666666666666666,0.5714285714285714,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.4,0.4,0.4,5.0
micro avg,0.6006389776357828,0.7800829875518672,0.6787003610108303,241.0
macro avg,0.5913955756915817,0.7586696260425074,0.6508785065278523,241.0
weighted avg,0.6379544532719079,0.7800829875518672,0.6903663193600408,241.0
samples avg,0.6451890034364262,0.8084192439862542,0.6910652920962199,241.0
