,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.5833333333333334,0.875,0.7,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2826086956521739,0.6190476190476191,0.3880597014925373,21.0
ECONOMIC_IMPACT,0.42857142857142855,1.0,0.6,12.0
GOVERNMENT,0.8181818181818182,0.9,0.8571428571428571,10.0
LOW-SKILLED,0.5833333333333334,1.0,0.7368421052631579,14.0
MOTIVATION/CHANCES,0.6666666666666666,0.7,0.6829268292682927,20.0
PRICES,0.6818181818181818,0.9375,0.7894736842105263,32.0
SOCIAL_JUSTICE/INJUSTICE,0.7761194029850746,0.8813559322033898,0.8253968253968254,59.0
TURNOVER,1.0,0.8,0.8888888888888888,5.0
UN/EMPLOYMENT_RATE,0.75,0.7346938775510204,0.7422680412371134,49.0
WELFARE,0.4,0.6666666666666666,0.5,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.3333333333333333,0.2,0.25,5.0
micro avg,0.6163522012578616,0.8132780082987552,0.7012522361359571,241.0
macro avg,0.608663849489612,0.7761886746223912,0.6634165777416833,241.0
weighted avg,0.659137003572637,0.8132780082987552,0.7158595743569895,241.0
samples avg,0.6520618556701031,0.8256013745704467,0.7041237113402061,241.0
