,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.46 ± 0.09,0.71 ± 0.12,0.56 ± 0.10,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.32 ± 0.03,0.70 ± 0.06,0.44 ± 0.04,21.00 ± 0.00
ECONOMIC_IMPACT,0.42 ± 0.03,0.97 ± 0.04,0.59 ± 0.02,12.00 ± 0.00
GOVERNMENT,0.78 ± 0.03,0.93 ± 0.05,0.85 ± 0.02,10.00 ± 0.00
LOW-SKILLED,0.54 ± 0.03,0.98 ± 0.03,0.70 ± 0.04,14.00 ± 0.00
MOTIVATION/CHANCES,0.63 ± 0.05,0.65 ± 0.04,0.64 ± 0.03,20.00 ± 0.00
PRICES,0.66 ± 0.03,0.90 ± 0.03,0.76 ± 0.03,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.75 ± 0.02,0.86 ± 0.03,0.80 ± 0.02,59.00 ± 0.00
TURNOVER,1.00 ± 0.00,0.80 ± 0.00,0.89 ± 0.00,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.79 ± 0.03,0.72 ± 0.01,0.75 ± 0.01,49.00 ± 0.00
WELFARE,0.42 ± 0.06,0.67 ± 0.00,0.51 ± 0.04,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.41 ± 0.07,0.33 ± 0.09,0.36 ± 0.08,5.00 ± 0.00
micro avg,0.61 ± 0.01,0.80 ± 0.01,0.69 ± 0.01,241.00 ± 0.00
macro avg,0.60 ± 0.01,0.77 ± 0.01,0.65 ± 0.01,241.00 ± 0.00
weighted avg,0.65 ± 0.01,0.80 ± 0.01,0.70 ± 0.01,241.00 ± 0.00
samples avg,0.65 ± 0.00,0.82 ± 0.01,0.70 ± 0.01,241.00 ± 0.00
