,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.2222222222222222,1.0,0.36363636363636365,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2,0.5714285714285714,0.2962962962962963,21.0
ECONOMIC_IMPACT,0.11764705882352941,1.0,0.21052631578947367,12.0
GOVERNMENT,0.3,0.9,0.45,10.0
LOW-SKILLED,0.32558139534883723,1.0,0.49122807017543857,14.0
MOTIVATION/CHANCES,0.36666666666666664,0.55,0.44,20.0
PRICES,0.4492753623188406,0.96875,0.6138613861386139,32.0
SOCIAL_JUSTICE/INJUSTICE,0.5897435897435898,0.7796610169491526,0.6715328467153284,59.0
TURNOVER,0.2727272727272727,0.6,0.375,5.0
UN/EMPLOYMENT_RATE,0.7352941176470589,0.5102040816326531,0.6024096385542169,49.0
WELFARE,0.13953488372093023,1.0,0.24489795918367346,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.15384615384615385,0.4,0.2222222222222222,5.0
micro avg,0.32604735883424407,0.7427385892116183,0.4531645569620253,241.0
macro avg,0.3227115602554251,0.7733369725008647,0.41513425822596894,241.0
weighted avg,0.458307829630085,0.7427385892116183,0.5189725949014637,241.0
samples avg,0.4114322533136966,0.7620274914089348,0.49512177398775337,241.0
