,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.18604651162790697,1.0,0.3137254901960784,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2153846153846154,0.6666666666666666,0.32558139534883723,21.0
ECONOMIC_IMPACT,0.10434782608695652,1.0,0.1889763779527559,12.0
GOVERNMENT,0.24390243902439024,1.0,0.39215686274509803,10.0
LOW-SKILLED,0.25925925925925924,1.0,0.4117647058823529,14.0
MOTIVATION/CHANCES,0.375,0.6,0.46153846153846156,20.0
PRICES,0.37349397590361444,0.96875,0.5391304347826087,32.0
SOCIAL_JUSTICE/INJUSTICE,0.5714285714285714,0.8135593220338984,0.6713286713286714,59.0
TURNOVER,0.23809523809523808,1.0,0.38461538461538464,5.0
UN/EMPLOYMENT_RATE,0.6078431372549019,0.6326530612244898,0.62,49.0
WELFARE,0.09433962264150944,0.8333333333333334,0.1694915254237288,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.11764705882352941,0.4,0.18181818181818182,5.0
micro avg,0.291350531107739,0.7966804979253111,0.4266666666666667,241.0
macro avg,0.28223235462754115,0.8262468652715325,0.3883439576360132,241.0
weighted avg,0.40924245990934294,0.7966804979253111,0.5046533444234261,241.0
samples avg,0.4013000029752607,0.8127147766323025,0.49498525529453363,241.0
