,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.20 ± 0.01,1.00 ± 0.00,0.34 ± 0.02,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.21 ± 0.01,0.59 ± 0.06,0.31 ± 0.01,21.00 ± 0.00
ECONOMIC_IMPACT,0.11 ± 0.01,1.00 ± 0.00,0.20 ± 0.01,12.00 ± 0.00
GOVERNMENT,0.29 ± 0.03,0.97 ± 0.05,0.44 ± 0.04,10.00 ± 0.00
LOW-SKILLED,0.30 ± 0.03,1.00 ± 0.00,0.46 ± 0.04,14.00 ± 0.00
MOTIVATION/CHANCES,0.40 ± 0.04,0.62 ± 0.06,0.48 ± 0.05,20.00 ± 0.00
PRICES,0.44 ± 0.05,0.98 ± 0.01,0.61 ± 0.05,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.58 ± 0.01,0.78 ± 0.03,0.66 ± 0.01,59.00 ± 0.00
TURNOVER,0.29 ± 0.05,0.80 ± 0.16,0.42 ± 0.06,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.67 ± 0.05,0.59 ± 0.05,0.62 ± 0.01,49.00 ± 0.00
WELFARE,0.13 ± 0.03,0.94 ± 0.08,0.23 ± 0.05,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.16 ± 0.03,0.40 ± 0.00,0.22 ± 0.03,5.00 ± 0.00
micro avg,0.32 ± 0.02,0.77 ± 0.02,0.45 ± 0.02,241.00 ± 0.00
macro avg,0.32 ± 0.02,0.80 ± 0.02,0.42 ± 0.02,241.00 ± 0.00
weighted avg,0.44 ± 0.02,0.77 ± 0.02,0.52 ± 0.02,241.00 ± 0.00
samples avg,0.42 ± 0.02,0.79 ± 0.02,0.51 ± 0.02,241.00 ± 0.00
