,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.1388888888888889,0.625,0.22727272727272727,8.0
COMPETITION/BUSINESS_CHALLENGES,0.23728813559322035,0.6666666666666666,0.35,21.0
ECONOMIC_IMPACT,0.12857142857142856,0.75,0.21951219512195122,12.0
GOVERNMENT,0.18181818181818182,0.6,0.27906976744186046,10.0
LOW-SKILLED,0.22,0.7857142857142857,0.34375,14.0
MOTIVATION/CHANCES,0.2328767123287671,0.85,0.3655913978494624,20.0
PRICES,0.46774193548387094,0.90625,0.6170212765957447,32.0
SOCIAL_JUSTICE/INJUSTICE,0.48314606741573035,0.7288135593220338,0.581081081081081,59.0
TURNOVER,0.1875,0.6,0.2857142857142857,5.0
UN/EMPLOYMENT_RATE,0.5,0.8163265306122449,0.6201550387596899,49.0
WELFARE,0.08108108108108109,0.5,0.13953488372093023,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.08,0.4,0.13333333333333333,5.0
micro avg,0.28888888888888886,0.7551867219917012,0.417910447761194,241.0
macro avg,0.24490936926509743,0.6857309201929359,0.34683633224092225,241.0
weighted avg,0.3609546952932842,0.7551867219917012,0.4733023349489177,241.0
samples avg,0.3823332738281192,0.7637457044673539,0.4695747837500415,241.0
