,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.08823529411764706,0.375,0.14285714285714285,8.0
COMPETITION/BUSINESS_CHALLENGES,0.25,0.6190476190476191,0.3561643835616438,21.0
ECONOMIC_IMPACT,0.140625,0.75,0.23684210526315788,12.0
GOVERNMENT,0.21875,0.7,0.3333333333333333,10.0
LOW-SKILLED,0.18,0.6428571428571429,0.28125,14.0
MOTIVATION/CHANCES,0.17721518987341772,0.7,0.2828282828282828,20.0
PRICES,0.42424242424242425,0.875,0.5714285714285714,32.0
SOCIAL_JUSTICE/INJUSTICE,0.43529411764705883,0.6271186440677966,0.5138888888888888,59.0
TURNOVER,0.21052631578947367,0.8,0.3333333333333333,5.0
UN/EMPLOYMENT_RATE,0.5230769230769231,0.6938775510204082,0.5964912280701754,49.0
WELFARE,0.07142857142857142,0.5,0.125,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.10526315789473684,0.4,0.16666666666666666,5.0
micro avg,0.2685337726523888,0.6763485477178424,0.38443396226415094,241.0
macro avg,0.23538808283918775,0.6402417464160807,0.3283403280192664,241.0
weighted avg,0.3435335464527191,0.6763485477178424,0.4376557774120576,241.0
samples avg,0.34080570059951504,0.6864261168384881,0.4184208689363329,241.0
