,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.13 ± 0.03,0.54 ± 0.12,0.21 ± 0.05,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.26 ± 0.02,0.62 ± 0.04,0.36 ± 0.02,21.00 ± 0.00
ECONOMIC_IMPACT,0.15 ± 0.02,0.81 ± 0.08,0.26 ± 0.04,12.00 ± 0.00
GOVERNMENT,0.23 ± 0.05,0.73 ± 0.12,0.35 ± 0.07,10.00 ± 0.00
LOW-SKILLED,0.21 ± 0.02,0.74 ± 0.07,0.33 ± 0.04,14.00 ± 0.00
MOTIVATION/CHANCES,0.20 ± 0.02,0.77 ± 0.06,0.32 ± 0.03,20.00 ± 0.00
PRICES,0.45 ± 0.02,0.90 ± 0.01,0.60 ± 0.02,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.49 ± 0.05,0.72 ± 0.07,0.58 ± 0.06,59.00 ± 0.00
TURNOVER,0.23 ± 0.04,0.73 ± 0.09,0.35 ± 0.06,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.54 ± 0.04,0.78 ± 0.06,0.64 ± 0.04,49.00 ± 0.00
WELFARE,0.09 ± 0.02,0.50 ± 0.00,0.15 ± 0.02,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.11 ± 0.03,0.47 ± 0.09,0.18 ± 0.05,5.00 ± 0.00
micro avg,0.30 ± 0.03,0.74 ± 0.05,0.43 ± 0.04,241.00 ± 0.00
macro avg,0.26 ± 0.03,0.69 ± 0.04,0.36 ± 0.03,241.00 ± 0.00
weighted avg,0.37 ± 0.03,0.74 ± 0.05,0.48 ± 0.04,241.00 ± 0.00
samples avg,0.38 ± 0.04,0.75 ± 0.05,0.47 ± 0.04,241.00 ± 0.00
