,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.8392857142857143,0.8545454545454545,0.8468468468468469,55.0
COSTS,0.55,0.88,0.676923076923077,25.0
ENERGY_POLICY,0.3333333333333333,0.5,0.4,18.0
ENVIRONMENTAL_IMPACT,0.8974358974358975,0.6862745098039216,0.7777777777777778,51.0
FOSSIL_FUELS,0.92,0.9583333333333334,0.9387755102040817,24.0
HEALTH_EFFECTS,0.6222222222222222,0.9032258064516129,0.7368421052631579,31.0
PUBLIC_DEBATE,0.21052631578947367,0.8,0.3333333333333333,5.0
RELIABILITY,0.6,0.5,0.5454545454545454,24.0
RENEWABLES,0.5609756097560976,1.0,0.71875,23.0
TECHNOLOGICAL_INNOVATION,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
WASTE,0.6571428571428571,0.9583333333333334,0.7796610169491526,24.0
WEAPONS,1.0,0.8666666666666667,0.9285714285714286,15.0
micro avg,0.6559139784946236,0.8106312292358804,0.725111441307578,301.0
macro avg,0.6339657180526886,0.8117260364556379,0.6865409330732463,301.0
weighted avg,0.7132070867727579,0.8106312292358804,0.7408692112977947,301.0
samples avg,0.7142857142857143,0.8540922619047618,0.7542091836734693,301.0
