,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.8305084745762712,0.8909090909090909,0.8596491228070176,55.0
COSTS,0.5641025641025641,0.88,0.6875,25.0
ENERGY_POLICY,0.32142857142857145,0.5,0.391304347826087,18.0
ENVIRONMENTAL_IMPACT,0.8571428571428571,0.5882352941176471,0.6976744186046512,51.0
FOSSIL_FUELS,0.9230769230769231,1.0,0.96,24.0
HEALTH_EFFECTS,0.6041666666666666,0.9354838709677419,0.7341772151898734,31.0
PUBLIC_DEBATE,0.23529411764705882,0.8,0.36363636363636365,5.0
RELIABILITY,0.5263157894736842,0.4166666666666667,0.46511627906976744,24.0
RENEWABLES,0.5609756097560976,1.0,0.71875,23.0
TECHNOLOGICAL_INNOVATION,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
WASTE,0.6666666666666666,1.0,0.8,24.0
WEAPONS,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
micro avg,0.6470588235294118,0.8039867109634552,0.717037037037037,301.0
macro avg,0.6195763613146213,0.8092745768884289,0.6774929189022706,301.0
weighted avg,0.6953574850941435,0.8039867109634552,0.7255362151037786,301.0
samples avg,0.7105654761904763,0.8492559523809523,0.7503826530612244,301.0
