,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.84 ± 0.00,0.86 ± 0.02,0.85 ± 0.01,55.00 ± 0.00
COSTS,0.56 ± 0.01,0.85 ± 0.04,0.67 ± 0.01,25.00 ± 0.00
ENERGY_POLICY,0.33 ± 0.01,0.50 ± 0.00,0.39 ± 0.00,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.87 ± 0.02,0.64 ± 0.04,0.74 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.93 ± 0.02,0.99 ± 0.02,0.96 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.63 ± 0.02,0.94 ± 0.03,0.75 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.22 ± 0.01,0.73 ± 0.09,0.34 ± 0.02,5.00 ± 0.00
RELIABILITY,0.60 ± 0.07,0.46 ± 0.03,0.52 ± 0.04,24.00 ± 0.00
RENEWABLES,0.55 ± 0.01,0.99 ± 0.02,0.71 ± 0.01,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.43 ± 0.02,0.83 ± 0.00,0.57 ± 0.02,6.00 ± 0.00
WASTE,0.68 ± 0.02,0.99 ± 0.02,0.80 ± 0.02,24.00 ± 0.00
WEAPONS,0.95 ± 0.03,0.87 ± 0.00,0.91 ± 0.02,15.00 ± 0.00
micro avg,0.66 ± 0.01,0.80 ± 0.01,0.72 ± 0.00,301.00 ± 0.00
macro avg,0.63 ± 0.01,0.80 ± 0.01,0.68 ± 0.00,301.00 ± 0.00
weighted avg,0.71 ± 0.01,0.80 ± 0.01,0.74 ± 0.01,301.00 ± 0.00
samples avg,0.72 ± 0.01,0.85 ± 0.00,0.75 ± 0.00,301.00 ± 0.00
