,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.5108695652173914,0.8545454545454545,0.6394557823129252,55.0
COSTS,0.3584905660377358,0.76,0.48717948717948717,25.0
ENERGY_POLICY,0.1717171717171717,0.9444444444444444,0.2905982905982906,18.0
ENVIRONMENTAL_IMPACT,0.5056179775280899,0.8823529411764706,0.6428571428571429,51.0
FOSSIL_FUELS,0.42,0.875,0.5675675675675675,24.0
HEALTH_EFFECTS,0.3118279569892473,0.9354838709677419,0.46774193548387094,31.0
PUBLIC_DEBATE,0.08695652173913043,0.8,0.1568627450980392,5.0
RELIABILITY,0.23880597014925373,0.6666666666666666,0.3516483516483517,24.0
RENEWABLES,0.3230769230769231,0.9130434782608695,0.4772727272727273,23.0
TECHNOLOGICAL_INNOVATION,0.11320754716981132,1.0,0.2033898305084746,6.0
WASTE,0.2553191489361702,1.0,0.4067796610169492,24.0
WEAPONS,0.34210526315789475,0.8666666666666667,0.49056603773584906,15.0
micro avg,0.31227651966626935,0.8704318936877077,0.45964912280701753,301.0
macro avg,0.303166217643235,0.8748502935606929,0.43182662993997295,301.0
weighted avg,0.3695002052402346,0.8704318936877077,0.5050842147861194,301.0
samples avg,0.4431291550711194,0.8884672619047619,0.5457423776620205,301.0
