,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.48 ± 0.03,0.83 ± 0.02,0.61 ± 0.03,55.00 ± 0.00
COSTS,0.31 ± 0.04,0.71 ± 0.05,0.43 ± 0.04,25.00 ± 0.00
ENERGY_POLICY,0.17 ± 0.01,0.94 ± 0.00,0.29 ± 0.01,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.50 ± 0.03,0.86 ± 0.02,0.63 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.35 ± 0.05,0.79 ± 0.07,0.49 ± 0.06,24.00 ± 0.00
HEALTH_EFFECTS,0.32 ± 0.02,0.92 ± 0.02,0.48 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.07 ± 0.02,0.73 ± 0.09,0.13 ± 0.03,5.00 ± 0.00
RELIABILITY,0.24 ± 0.00,0.71 ± 0.03,0.35 ± 0.00,24.00 ± 0.00
RENEWABLES,0.31 ± 0.01,0.94 ± 0.02,0.47 ± 0.00,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.11 ± 0.00,1.00 ± 0.00,0.20 ± 0.00,6.00 ± 0.00
WASTE,0.26 ± 0.01,0.96 ± 0.03,0.41 ± 0.01,24.00 ± 0.00
WEAPONS,0.31 ± 0.02,0.84 ± 0.03,0.46 ± 0.03,15.00 ± 0.00
micro avg,0.30 ± 0.01,0.85 ± 0.02,0.44 ± 0.02,301.00 ± 0.00
macro avg,0.29 ± 0.02,0.85 ± 0.02,0.41 ± 0.02,301.00 ± 0.00
weighted avg,0.35 ± 0.02,0.85 ± 0.02,0.48 ± 0.02,301.00 ± 0.00
samples avg,0.44 ± 0.01,0.87 ± 0.01,0.54 ± 0.01,301.00 ± 0.00
