,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.803921568627451,0.7454545454545455,0.7735849056603774,55.0
COSTS,0.5666666666666667,0.68,0.6181818181818182,25.0
ENERGY_POLICY,0.30952380952380953,0.7222222222222222,0.43333333333333335,18.0
ENVIRONMENTAL_IMPACT,0.6944444444444444,0.49019607843137253,0.5747126436781609,51.0
FOSSIL_FUELS,0.7058823529411765,0.5,0.5853658536585366,24.0
HEALTH_EFFECTS,0.6486486486486487,0.7741935483870968,0.7058823529411765,31.0
PUBLIC_DEBATE,0.23809523809523808,1.0,0.38461538461538464,5.0
RELIABILITY,0.23809523809523808,0.20833333333333334,0.2222222222222222,24.0
RENEWABLES,0.4634146341463415,0.8260869565217391,0.59375,23.0
TECHNOLOGICAL_INNOVATION,0.3333333333333333,0.6666666666666666,0.4444444444444444,6.0
WASTE,0.6176470588235294,0.875,0.7241379310344828,24.0
WEAPONS,0.5714285714285714,0.8,0.6666666666666666,15.0
micro avg,0.5454545454545454,0.6578073089700996,0.5963855421686747,301.0
macro avg,0.5159251303978708,0.6906794459180814,0.5605747963697171,301.0
weighted avg,0.5959401635591,0.6578073089700996,0.6046572451506255,301.0
samples avg,0.6218096139971141,0.7129464285714285,0.6390371533228676,301.0
