,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.8125,0.7090909090909091,0.7572815533980582,55.0
COSTS,0.6551724137931034,0.76,0.7037037037037037,25.0
ENERGY_POLICY,0.3,0.8333333333333334,0.4411764705882353,18.0
ENVIRONMENTAL_IMPACT,0.6857142857142857,0.47058823529411764,0.5581395348837209,51.0
FOSSIL_FUELS,0.85,0.7083333333333334,0.7727272727272727,24.0
HEALTH_EFFECTS,0.631578947368421,0.7741935483870968,0.6956521739130435,31.0
PUBLIC_DEBATE,0.17647058823529413,0.6,0.2727272727272727,5.0
RELIABILITY,0.32,0.3333333333333333,0.32653061224489793,24.0
RENEWABLES,0.5,0.782608695652174,0.6101694915254238,23.0
TECHNOLOGICAL_INNOVATION,0.2727272727272727,0.5,0.35294117647058826,6.0
WASTE,0.5833333333333334,0.875,0.7,24.0
WEAPONS,0.5714285714285714,0.8,0.6666666666666666,15.0
micro avg,0.5546448087431693,0.6744186046511628,0.6086956521739131,301.0
macro avg,0.5299104510500233,0.6788734490353582,0.5714763274040736,301.0
weighted avg,0.6169014333343716,0.6744186046511628,0.624292223047591,301.0
samples avg,0.6367559523809524,0.7166666666666667,0.6477313361241931,301.0
