,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.82 ± 0.02,0.74 ± 0.02,0.78 ± 0.02,55.00 ± 0.00
COSTS,0.64 ± 0.06,0.71 ± 0.04,0.67 ± 0.04,25.00 ± 0.00
ENERGY_POLICY,0.28 ± 0.03,0.67 ± 0.16,0.39 ± 0.06,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.72 ± 0.04,0.47 ± 0.02,0.57 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,0.83 ± 0.10,0.64 ± 0.10,0.72 ± 0.10,24.00 ± 0.00
HEALTH_EFFECTS,0.66 ± 0.03,0.77 ± 0.00,0.71 ± 0.02,31.00 ± 0.00
PUBLIC_DEBATE,0.20 ± 0.03,0.80 ± 0.16,0.33 ± 0.05,5.00 ± 0.00
RELIABILITY,0.34 ± 0.10,0.31 ± 0.07,0.32 ± 0.08,24.00 ± 0.00
RENEWABLES,0.50 ± 0.03,0.80 ± 0.02,0.61 ± 0.02,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.35 ± 0.08,0.67 ± 0.14,0.46 ± 0.10,6.00 ± 0.00
WASTE,0.60 ± 0.01,0.86 ± 0.02,0.71 ± 0.01,24.00 ± 0.00
WEAPONS,0.60 ± 0.04,0.80 ± 0.00,0.69 ± 0.03,15.00 ± 0.00
micro avg,0.57 ± 0.03,0.66 ± 0.01,0.61 ± 0.02,301.00 ± 0.00
macro avg,0.55 ± 0.03,0.69 ± 0.00,0.58 ± 0.02,301.00 ± 0.00
weighted avg,0.63 ± 0.03,0.66 ± 0.01,0.63 ± 0.02,301.00 ± 0.00
samples avg,0.63 ± 0.01,0.71 ± 0.00,0.64 ± 0.00,301.00 ± 0.00
