,precision,recall,f1-score,support
ADDICTION,1.0,0.25,0.4,12.0
CHILD_AND_TEEN_SAFETY,0.0,0.0,0.0,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.6875,0.28205128205128205,0.4,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.3695652173913043,0.8947368421052632,0.5230769230769231,19.0
GATEWAY_DRUG,1.0,0.45454545454545453,0.625,11.0
HARM,0.22857142857142856,0.4444444444444444,0.3018867924528302,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.0,0.0,0.0,37.0
ILLEGAL_TRADE,0.0,0.0,0.0,17.0
LEGAL_DRUGS,0.0,0.0,0.0,17.0
MEDICAL_MARIJUANA,0.7368421052631579,0.5833333333333334,0.6511627906976745,24.0
NATIONAL_BUDGET,0.875,0.30434782608695654,0.45161290322580644,23.0
PERSONAL_FREEDOM,0.6,0.375,0.46153846153846156,8.0
micro avg,0.49635036496350365,0.26356589147286824,0.34430379746835443,258.0
macro avg,0.42288298086353004,0.2760353217359026,0.2934059900762843,258.0
weighted avg,0.401386571205567,0.26356589147286824,0.28044471025526324,258.0
samples avg,0.30790697674418605,0.28062015503875964,0.28660022148394243,258.0
