,precision,recall,f1-score,support
ADDICTION,1.0,0.3333333333333333,0.5,12.0
CHILD_AND_TEEN_SAFETY,0.0,0.0,0.0,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.8,0.3076923076923077,0.4444444444444444,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.38095238095238093,0.8421052631578947,0.5245901639344263,19.0
GATEWAY_DRUG,1.0,0.45454545454545453,0.625,11.0
HARM,0.20512820512820512,0.4444444444444444,0.2807017543859649,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.0,0.0,0.0,37.0
ILLEGAL_TRADE,0.0,0.0,0.0,17.0
LEGAL_DRUGS,0.0,0.0,0.0,17.0
MEDICAL_MARIJUANA,0.8125,0.5416666666666666,0.65,24.0
NATIONAL_BUDGET,1.0,0.391304347826087,0.5625,23.0
PERSONAL_FREEDOM,1.0,0.375,0.5454545454545454,8.0
micro avg,0.5263157894736842,0.2713178294573643,0.35805626598465473,258.0
macro avg,0.4768138912369682,0.28385321674355296,0.3178993006322601,258.0
weighted avg,0.4481798563193912,0.2713178294573643,0.3028267999638417,258.0
samples avg,0.32325581395348835,0.2968992248062015,0.3038759689922481,258.0
