,precision,recall,f1-score,support
ADDICTION,1.00 ± 0.00,0.28 ± 0.04,0.43 ± 0.05,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.75 ± 0.05,0.31 ± 0.02,0.44 ± 0.03,39.00 ± 0.00
DRUG_ABUSE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
DRUG_POLICY,0.35 ± 0.03,0.84 ± 0.04,0.50 ± 0.04,19.00 ± 0.00
GATEWAY_DRUG,1.00 ± 0.00,0.45 ± 0.00,0.62 ± 0.00,11.00 ± 0.00
HARM,0.21 ± 0.01,0.44 ± 0.00,0.29 ± 0.01,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,37.00 ± 0.00
ILLEGAL_TRADE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
LEGAL_DRUGS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
MEDICAL_MARIJUANA,0.76 ± 0.04,0.56 ± 0.02,0.64 ± 0.01,24.00 ± 0.00
NATIONAL_BUDGET,0.87 ± 0.11,0.35 ± 0.04,0.49 ± 0.05,23.00 ± 0.00
PERSONAL_FREEDOM,0.70 ± 0.22,0.38 ± 0.00,0.48 ± 0.05,8.00 ± 0.00
micro avg,0.50 ± 0.02,0.27 ± 0.00,0.35 ± 0.01,258.00 ± 0.00
macro avg,0.43 ± 0.03,0.28 ± 0.00,0.30 ± 0.01,258.00 ± 0.00
weighted avg,0.41 ± 0.03,0.27 ± 0.00,0.29 ± 0.01,258.00 ± 0.00
samples avg,0.31 ± 0.01,0.28 ± 0.01,0.29 ± 0.01,258.00 ± 0.00
