,precision,recall,f1-score,support
ADDICTION,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
CHILD_AND_TEEN_SAFETY,0.4838709677419355,0.7142857142857143,0.5769230769230769,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.0,0.0,0.0,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.0,0.0,0.0,19.0
GATEWAY_DRUG,0.5,0.6363636363636364,0.56,11.0
HARM,0.6,0.16666666666666666,0.2608695652173913,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.0,0.0,0.0,37.0
ILLEGAL_TRADE,0.3333333333333333,0.47058823529411764,0.3902439024390244,17.0
LEGAL_DRUGS,0.0,0.0,0.0,17.0
MEDICAL_MARIJUANA,0.5217391304347826,0.5,0.5106382978723404,24.0
NATIONAL_BUDGET,0.0,0.0,0.0,23.0
PERSONAL_FREEDOM,0.23076923076923078,0.375,0.2857142857142857,8.0
micro avg,0.43089430894308944,0.2054263565891473,0.2782152230971129,258.0
macro avg,0.2374137945343038,0.2522746860982155,0.2308504457563681,258.0
weighted avg,0.1995963176970385,0.2054263565891473,0.19048921149384312,258.0
samples avg,0.23503875968992247,0.2201550387596899,0.2193798449612403,258.0
