,precision,recall,f1-score,support
ADDICTION,0.5,0.4166666666666667,0.45454545454545453,12.0
CHILD_AND_TEEN_SAFETY,0.6071428571428571,0.8095238095238095,0.6938775510204082,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.0,0.0,0.0,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.0,0.0,0.0,19.0
GATEWAY_DRUG,0.5,0.6363636363636364,0.56,11.0
HARM,0.25,0.05555555555555555,0.09090909090909091,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.0,0.0,0.0,37.0
ILLEGAL_TRADE,0.22580645161290322,0.4117647058823529,0.2916666666666667,17.0
LEGAL_DRUGS,0.0,0.0,0.0,17.0
MEDICAL_MARIJUANA,0.6,0.5,0.5454545454545454,24.0
NATIONAL_BUDGET,0.0,0.0,0.0,23.0
PERSONAL_FREEDOM,0.36363636363636365,0.5,0.42105263157894735,8.0
micro avg,0.4491525423728814,0.2054263565891473,0.28191489361702127,258.0
macro avg,0.2343527440301634,0.25614418261477084,0.23519276462885483,258.0
weighted avg,0.19340232785469091,0.2054263565891473,0.19085271759384362,258.0
samples avg,0.21790697674418605,0.2186046511627907,0.21003322259136215,258.0
