,precision,recall,f1-score,support
ADDICTION,0.41 ± 0.08,0.39 ± 0.04,0.40 ± 0.06,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.55 ± 0.05,0.78 ± 0.04,0.65 ± 0.05,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,39.00 ± 0.00
DRUG_ABUSE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
DRUG_POLICY,0.33 ± 0.47,0.02 ± 0.02,0.03 ± 0.05,19.00 ± 0.00
GATEWAY_DRUG,0.50 ± 0.00,0.70 ± 0.09,0.58 ± 0.03,11.00 ± 0.00
HARM,0.42 ± 0.14,0.11 ± 0.05,0.18 ± 0.07,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,37.00 ± 0.00
ILLEGAL_TRADE,0.26 ± 0.05,0.43 ± 0.03,0.33 ± 0.05,17.00 ± 0.00
LEGAL_DRUGS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
MEDICAL_MARIJUANA,0.56 ± 0.03,0.49 ± 0.02,0.52 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.00 ± 0.00
PERSONAL_FREEDOM,0.28 ± 0.06,0.42 ± 0.06,0.33 ± 0.06,8.00 ± 0.00
micro avg,0.43 ± 0.01,0.21 ± 0.00,0.28 ± 0.00,258.00 ± 0.00
macro avg,0.25 ± 0.03,0.26 ± 0.00,0.23 ± 0.00,258.00 ± 0.00
weighted avg,0.22 ± 0.03,0.21 ± 0.00,0.19 ± 0.00,258.00 ± 0.00
samples avg,0.23 ± 0.01,0.22 ± 0.00,0.22 ± 0.01,258.00 ± 0.00
