,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.0,0.0,0.0,8.0
COMPETITION/BUSINESS_CHALLENGES,0.0,0.0,0.0,21.0
ECONOMIC_IMPACT,0.5,0.08333333333333333,0.14285714285714285,12.0
GOVERNMENT,1.0,0.3,0.46153846153846156,10.0
LOW-SKILLED,0.0,0.0,0.0,14.0
MOTIVATION/CHANCES,0.0,0.0,0.0,20.0
PRICES,1.0,0.09375,0.17142857142857143,32.0
SOCIAL_JUSTICE/INJUSTICE,1.0,0.01694915254237288,0.03333333333333333,59.0
TURNOVER,1.0,1.0,1.0,5.0
UN/EMPLOYMENT_RATE,1.0,0.32653061224489793,0.49230769230769234,49.0
WELFARE,1.0,0.5,0.6666666666666666,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.6666666666666666,0.4,0.5,5.0
micro avg,0.918918918918919,0.14107883817427386,0.2446043165467626,241.0
macro avg,0.5972222222222222,0.22671359151005033,0.289010989010989,241.0
weighted avg,0.706777316735823,0.14107883817427386,0.20500053197148635,241.0
samples avg,0.17525773195876287,0.15463917525773196,0.16151202749140892,241.0
