,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
ECONOMIC_IMPACT,0.58 ± 0.31,0.11 ± 0.04,0.18 ± 0.07,12.00 ± 0.00
GOVERNMENT,0.92 ± 0.12,0.27 ± 0.05,0.41 ± 0.05,10.00 ± 0.00
LOW-SKILLED,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.00 ± 0.00
PRICES,1.00 ± 0.00,0.08 ± 0.01,0.15 ± 0.03,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.67 ± 0.47,0.01 ± 0.01,0.02 ± 0.02,59.00 ± 0.00
TURNOVER,1.00 ± 0.00,0.87 ± 0.09,0.93 ± 0.05,5.00 ± 0.00
UN/EMPLOYMENT_RATE,1.00 ± 0.00,0.30 ± 0.02,0.46 ± 0.02,49.00 ± 0.00
WELFARE,1.00 ± 0.00,0.33 ± 0.14,0.48 ± 0.16,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.67 ± 0.00,0.40 ± 0.00,0.50 ± 0.00,5.00 ± 0.00
micro avg,0.90 ± 0.04,0.13 ± 0.01,0.22 ± 0.02,241.00 ± 0.00
macro avg,0.57 ± 0.07,0.20 ± 0.02,0.26 ± 0.02,241.00 ± 0.00
weighted avg,0.63 ± 0.13,0.13 ± 0.01,0.19 ± 0.02,241.00 ± 0.00
samples avg,0.16 ± 0.01,0.14 ± 0.01,0.15 ± 0.01,241.00 ± 0.00
