,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.14285714285714285,0.25,0.18181818181818182,8.0
COMPETITION/BUSINESS_CHALLENGES,0.2,0.14285714285714285,0.16666666666666666,21.0
ECONOMIC_IMPACT,0.12,0.25,0.16216216216216217,12.0
GOVERNMENT,0.5,0.1,0.16666666666666666,10.0
LOW-SKILLED,0.0,0.0,0.0,14.0
MOTIVATION/CHANCES,0.0,0.0,0.0,20.0
PRICES,1.0,0.03125,0.06060606060606061,32.0
SOCIAL_JUSTICE/INJUSTICE,0.5517241379310345,0.2711864406779661,0.36363636363636365,59.0
TURNOVER,0.42857142857142855,0.6,0.5,5.0
UN/EMPLOYMENT_RATE,0.625,0.40816326530612246,0.49382716049382713,49.0
WELFARE,1.0,0.16666666666666666,0.2857142857142857,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.21428571428571427,0.6,0.3157894736842105,5.0
micro avg,0.37857142857142856,0.21991701244813278,0.2782152230971129,241.0
macro avg,0.39853653530377664,0.23501029295899148,0.22474058512070205,241.0
weighted avg,0.4820492406434601,0.21991701244813278,0.25706166559336835,241.0
samples avg,0.23848797250859105,0.2345360824742268,0.22725822287677958,241.0
