,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.16 ± 0.04,0.29 ± 0.06,0.21 ± 0.04,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.26 ± 0.11,0.16 ± 0.06,0.20 ± 0.08,21.00 ± 0.00
ECONOMIC_IMPACT,0.16 ± 0.03,0.31 ± 0.04,0.21 ± 0.03,12.00 ± 0.00
GOVERNMENT,0.67 ± 0.24,0.10 ± 0.00,0.17 ± 0.01,10.00 ± 0.00
LOW-SKILLED,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.00 ± 0.00
PRICES,1.00 ± 0.00,0.03 ± 0.00,0.06 ± 0.00,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.54 ± 0.01,0.25 ± 0.01,0.35 ± 0.01,59.00 ± 0.00
TURNOVER,0.56 ± 0.10,0.73 ± 0.09,0.63 ± 0.10,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.68 ± 0.04,0.41 ± 0.03,0.51 ± 0.03,49.00 ± 0.00
WELFARE,0.33 ± 0.47,0.06 ± 0.08,0.10 ± 0.13,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.15 ± 0.11,0.33 ± 0.25,0.21 ± 0.15,5.00 ± 0.00
micro avg,0.40 ± 0.02,0.22 ± 0.00,0.28 ± 0.01,241.00 ± 0.00
macro avg,0.38 ± 0.04,0.22 ± 0.02,0.22 ± 0.02,241.00 ± 0.00
weighted avg,0.49 ± 0.02,0.22 ± 0.00,0.26 ± 0.00,241.00 ± 0.00
samples avg,0.24 ± 0.01,0.23 ± 0.01,0.22 ± 0.01,241.00 ± 0.00
