,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.76,0.34545454545454546,0.475,55.0
COSTS,0.6818181818181818,0.6,0.6382978723404256,25.0
ENERGY_POLICY,0.4117647058823529,0.3888888888888889,0.4,18.0
ENVIRONMENTAL_IMPACT,0.9090909090909091,0.19607843137254902,0.3225806451612903,51.0
FOSSIL_FUELS,0.8888888888888888,0.3333333333333333,0.48484848484848486,24.0
HEALTH_EFFECTS,1.0,0.5483870967741935,0.7083333333333334,31.0
PUBLIC_DEBATE,0.25,0.4,0.3076923076923077,5.0
RELIABILITY,0.4482758620689655,0.5416666666666666,0.49056603773584906,24.0
RENEWABLES,0.625,0.43478260869565216,0.5128205128205128,23.0
TECHNOLOGICAL_INNOVATION,0.0,0.0,0.0,6.0
WASTE,0.7272727272727273,0.6666666666666666,0.6956521739130435,24.0
WEAPONS,0.8333333333333334,1.0,0.9090909090909091,15.0
micro avg,0.6633165829145728,0.43853820598006643,0.528,301.0
macro avg,0.6279537173629466,0.45460485315437466,0.49540685641134635,301.0
weighted avg,0.7351905484800904,0.43853820598006643,0.5141783745206107,301.0
samples avg,0.5580357142857143,0.5061011904761905,0.5181760204081632,301.0
