,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.80 ± 0.06,0.33 ± 0.02,0.47 ± 0.01,55.00 ± 0.00
COSTS,0.70 ± 0.04,0.63 ± 0.02,0.66 ± 0.02,25.00 ± 0.00
ENERGY_POLICY,0.39 ± 0.03,0.39 ± 0.00,0.39 ± 0.01,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.86 ± 0.04,0.20 ± 0.03,0.32 ± 0.04,51.00 ± 0.00
FOSSIL_FUELS,0.92 ± 0.06,0.31 ± 0.02,0.46 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.96 ± 0.03,0.52 ± 0.03,0.67 ± 0.03,31.00 ± 0.00
PUBLIC_DEBATE,0.38 ± 0.10,0.53 ± 0.09,0.44 ± 0.10,5.00 ± 0.00
RELIABILITY,0.48 ± 0.04,0.53 ± 0.02,0.50 ± 0.03,24.00 ± 0.00
RENEWABLES,0.59 ± 0.05,0.43 ± 0.00,0.50 ± 0.02,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.11 ± 0.16,0.06 ± 0.08,0.07 ± 0.10,6.00 ± 0.00
WASTE,0.76 ± 0.02,0.69 ± 0.04,0.72 ± 0.03,24.00 ± 0.00
WEAPONS,0.79 ± 0.03,1.00 ± 0.00,0.88 ± 0.02,15.00 ± 0.00
micro avg,0.67 ± 0.01,0.44 ± 0.01,0.53 ± 0.01,301.00 ± 0.00
macro avg,0.65 ± 0.02,0.47 ± 0.02,0.51 ± 0.01,301.00 ± 0.00
weighted avg,0.74 ± 0.00,0.44 ± 0.01,0.51 ± 0.01,301.00 ± 0.00
samples avg,0.56 ± 0.00,0.51 ± 0.01,0.52 ± 0.01,301.00 ± 0.00
