,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.0,0.0,0.0,55.0
COSTS,0.5,0.04,0.07407407407407407,25.0
ENERGY_POLICY,0.20689655172413793,0.3333333333333333,0.2553191489361702,18.0
ENVIRONMENTAL_IMPACT,0.4492753623188406,0.6078431372549019,0.5166666666666667,51.0
FOSSIL_FUELS,0.20512820512820512,0.3333333333333333,0.25396825396825395,24.0
HEALTH_EFFECTS,0.6666666666666666,0.6451612903225806,0.6557377049180327,31.0
PUBLIC_DEBATE,0.06976744186046512,0.6,0.125,5.0
RELIABILITY,0.19148936170212766,0.375,0.2535211267605634,24.0
RENEWABLES,0.625,0.21739130434782608,0.3225806451612903,23.0
TECHNOLOGICAL_INNOVATION,0.11627906976744186,0.8333333333333334,0.20408163265306123,6.0
WASTE,0.7142857142857143,0.625,0.6666666666666666,24.0
WEAPONS,0.30434782608695654,0.9333333333333333,0.45901639344262296,15.0
micro avg,0.3103448275862069,0.38870431893687707,0.34513274336283184,301.0
macro avg,0.3374280166283796,0.46197742210488685,0.31555269277061687,301.0
weighted avg,0.3536619795413902,0.38870431893687707,0.3237850533518969,301.0
samples avg,0.41413159013605444,0.419047619047619,0.37855371315192743,301.0
