,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.0,0.0,0.0,55.0
COSTS,1.0,0.08,0.14814814814814814,25.0
ENERGY_POLICY,0.3333333333333333,0.4444444444444444,0.38095238095238093,18.0
ENVIRONMENTAL_IMPACT,0.484375,0.6078431372549019,0.5391304347826087,51.0
FOSSIL_FUELS,0.23684210526315788,0.375,0.2903225806451613,24.0
HEALTH_EFFECTS,0.64,0.5161290322580645,0.5714285714285714,31.0
PUBLIC_DEBATE,0.1,0.8,0.17777777777777778,5.0
RELIABILITY,0.2631578947368421,0.4166666666666667,0.3225806451612903,24.0
RENEWABLES,0.5454545454545454,0.2608695652173913,0.35294117647058826,23.0
TECHNOLOGICAL_INNOVATION,0.12121212121212122,0.6666666666666666,0.20512820512820512,6.0
WASTE,0.7222222222222222,0.5416666666666666,0.6190476190476191,24.0
WEAPONS,0.34285714285714286,0.8,0.48,15.0
micro avg,0.35060975609756095,0.38205980066445183,0.3656597774244833,301.0
macro avg,0.39912119708994703,0.4591071815979002,0.34062146162852924,301.0
weighted avg,0.41126924501301576,0.38205980066445183,0.3414448834020753,301.0
samples avg,0.3677986819727891,0.4088541666666667,0.3587443310657596,301.0
