,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,55.00 ± 0.00
COSTS,0.72 ± 0.21,0.07 ± 0.02,0.12 ± 0.03,25.00 ± 0.00
ENERGY_POLICY,0.26 ± 0.05,0.35 ± 0.07,0.30 ± 0.06,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.48 ± 0.03,0.63 ± 0.04,0.55 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,0.23 ± 0.02,0.39 ± 0.05,0.29 ± 0.03,24.00 ± 0.00
HEALTH_EFFECTS,0.65 ± 0.01,0.55 ± 0.07,0.59 ± 0.04,31.00 ± 0.00
PUBLIC_DEBATE,0.07 ± 0.02,0.60 ± 0.16,0.13 ± 0.04,5.00 ± 0.00
RELIABILITY,0.22 ± 0.03,0.39 ± 0.02,0.28 ± 0.03,24.00 ± 0.00
RENEWABLES,0.59 ± 0.03,0.25 ± 0.02,0.35 ± 0.02,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.11 ± 0.02,0.67 ± 0.14,0.18 ± 0.03,6.00 ± 0.00
WASTE,0.72 ± 0.01,0.58 ± 0.03,0.65 ± 0.02,24.00 ± 0.00
WEAPONS,0.31 ± 0.03,0.84 ± 0.06,0.45 ± 0.03,15.00 ± 0.00
micro avg,0.33 ± 0.02,0.38 ± 0.00,0.35 ± 0.01,301.00 ± 0.00
macro avg,0.36 ± 0.03,0.44 ± 0.02,0.32 ± 0.01,301.00 ± 0.00
weighted avg,0.38 ± 0.02,0.38 ± 0.00,0.33 ± 0.01,301.00 ± 0.00
samples avg,0.38 ± 0.02,0.41 ± 0.01,0.36 ± 0.01,301.00 ± 0.00
