,precision,recall,f1-score,support
ADDICTION,1.00 ± 0.00,0.47 ± 0.08,0.64 ± 0.07,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,39.00 ± 0.00
DRUG_ABUSE,0.55 ± 0.03,0.33 ± 0.00,0.41 ± 0.01,12.00 ± 0.00
DRUG_POLICY,0.41 ± 0.01,0.65 ± 0.05,0.50 ± 0.02,19.00 ± 0.00
GATEWAY_DRUG,1.00 ± 0.00,0.76 ± 0.04,0.86 ± 0.03,11.00 ± 0.00
HARM,0.11 ± 0.16,0.02 ± 0.03,0.03 ± 0.04,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,37.00 ± 0.00
ILLEGAL_TRADE,0.33 ± 0.47,0.02 ± 0.03,0.04 ± 0.05,17.00 ± 0.00
LEGAL_DRUGS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.00 ± 0.00
MEDICAL_MARIJUANA,0.85 ± 0.06,0.65 ± 0.05,0.73 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.00 ± 0.00
PERSONAL_FREEDOM,0.81 ± 0.15,0.58 ± 0.06,0.67 ± 0.07,8.00 ± 0.00
micro avg,0.65 ± 0.01,0.20 ± 0.00,0.30 ± 0.01,258.00 ± 0.00
macro avg,0.39 ± 0.05,0.27 ± 0.01,0.30 ± 0.01,258.00 ± 0.00
weighted avg,0.28 ± 0.04,0.20 ± 0.00,0.22 ± 0.01,258.00 ± 0.00
samples avg,0.24 ± 0.01,0.23 ± 0.00,0.23 ± 0.00,258.00 ± 0.00
