,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.0,0.0,0.0,8.0
COMPETITION/BUSINESS_CHALLENGES,0.0,0.0,0.0,21.0
ECONOMIC_IMPACT,0.15384615384615385,1.0,0.26666666666666666,12.0
GOVERNMENT,1.0,0.2,0.3333333333333333,10.0
LOW-SKILLED,0.0,0.0,0.0,14.0
MOTIVATION/CHANCES,1.0,0.4,0.5714285714285714,20.0
PRICES,0.0,0.0,0.0,32.0
SOCIAL_JUSTICE/INJUSTICE,1.0,0.03389830508474576,0.06557377049180328,59.0
TURNOVER,0.0,0.0,0.0,5.0
UN/EMPLOYMENT_RATE,0.0,0.0,0.0,49.0
WELFARE,0.15384615384615385,0.6666666666666666,0.25,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.0,0.0,0.0,5.0
micro avg,0.2413793103448276,0.11618257261410789,0.1568627450980392,241.0
macro avg,0.2756410256410256,0.19171374764595103,0.12391686182669788,241.0
weighted avg,0.3807851899138206,0.11618257261410789,0.0968081212486355,241.0
samples avg,0.14432989690721648,0.11254295532646047,0.12285223367697594,241.0
