,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.0,0.0,0.0,55.0
COSTS,1.0,0.12,0.21428571428571427,25.0
ENERGY_POLICY,0.0,0.0,0.0,18.0
ENVIRONMENTAL_IMPACT,0.88,0.43137254901960786,0.5789473684210527,51.0
FOSSIL_FUELS,0.0,0.0,0.0,24.0
HEALTH_EFFECTS,1.0,0.03225806451612903,0.0625,31.0
PUBLIC_DEBATE,0.1875,0.6,0.2857142857142857,5.0
RELIABILITY,0.5,0.041666666666666664,0.07692307692307693,24.0
RENEWABLES,0.7894736842105263,0.6521739130434783,0.7142857142857143,23.0
TECHNOLOGICAL_INNOVATION,0.0,0.0,0.0,6.0
WASTE,1.0,0.4583333333333333,0.6285714285714286,24.0
WEAPONS,1.0,0.3333333333333333,0.5,15.0
micro avg,0.7093023255813954,0.2026578073089701,0.3152454780361757,301.0
macro avg,0.5297478070175439,0.22242815499271237,0.25510229901677267,301.0
weighted avg,0.5680245672320335,0.2026578073089701,0.2628238193874669,301.0
samples avg,0.26785714285714285,0.2235863095238095,0.23675595238095237,301.0
