,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,55.00 ± 0.00
COSTS,0.67 ± 0.47,0.09 ± 0.07,0.16 ± 0.12,25.00 ± 0.00
ENERGY_POLICY,0.06 ± 0.08,0.02 ± 0.03,0.03 ± 0.04,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.86 ± 0.01,0.44 ± 0.01,0.58 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,0.33 ± 0.47,0.01 ± 0.02,0.03 ± 0.04,24.00 ± 0.00
HEALTH_EFFECTS,0.33 ± 0.47,0.01 ± 0.02,0.02 ± 0.03,31.00 ± 0.00
PUBLIC_DEBATE,0.19 ± 0.00,0.60 ± 0.00,0.29 ± 0.00,5.00 ± 0.00
RELIABILITY,0.83 ± 0.24,0.04 ± 0.00,0.08 ± 0.00,24.00 ± 0.00
RENEWABLES,0.72 ± 0.05,0.64 ± 0.02,0.68 ± 0.03,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.00 ± 0.00
WASTE,1.00 ± 0.00,0.43 ± 0.04,0.60 ± 0.04,24.00 ± 0.00
WEAPONS,1.00 ± 0.00,0.24 ± 0.08,0.39 ± 0.11,15.00 ± 0.00
micro avg,0.68 ± 0.02,0.19 ± 0.01,0.30 ± 0.01,301.00 ± 0.00
macro avg,0.50 ± 0.07,0.21 ± 0.01,0.24 ± 0.02,301.00 ± 0.00
weighted avg,0.52 ± 0.07,0.19 ± 0.01,0.25 ± 0.02,301.00 ± 0.00
samples avg,0.26 ± 0.01,0.21 ± 0.01,0.23 ± 0.01,301.00 ± 0.00
