,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.0,0.0,0.0,8.0
COMPETITION/BUSINESS_CHALLENGES,0.0,0.0,0.0,21.0
ECONOMIC_IMPACT,0.0,0.0,0.0,12.0
GOVERNMENT,1.0,0.2,0.3333333333333333,10.0
LOW-SKILLED,0.0,0.0,0.0,14.0
MOTIVATION/CHANCES,1.0,0.05,0.09523809523809523,20.0
PRICES,1.0,0.625,0.7692307692307693,32.0
SOCIAL_JUSTICE/INJUSTICE,1.0,0.01694915254237288,0.03333333333333333,59.0
TURNOVER,1.0,0.6,0.75,5.0
UN/EMPLOYMENT_RATE,0.0,0.0,0.0,49.0
WELFARE,0.75,0.5,0.6,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.0,0.0,0.0,5.0
micro avg,0.967741935483871,0.12448132780082988,0.22058823529411764,241.0
macro avg,0.4791666666666667,0.16599576271186442,0.2150946275946276,241.0
weighted avg,0.5414937759336099,0.12448132780082988,0.16253172829936316,241.0
samples avg,0.15463917525773196,0.13917525773195877,0.14432989690721648,241.0
