,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.0,0.0,0.0,8.0
COMPETITION/BUSINESS_CHALLENGES,0.0,0.0,0.0,21.0
ECONOMIC_IMPACT,0.0,0.0,0.0,12.0
GOVERNMENT,1.0,0.3,0.46153846153846156,10.0
LOW-SKILLED,0.0,0.0,0.0,14.0
MOTIVATION/CHANCES,1.0,0.05,0.09523809523809523,20.0
PRICES,0.9565217391304348,0.6875,0.8,32.0
SOCIAL_JUSTICE/INJUSTICE,0.0,0.0,0.0,59.0
TURNOVER,1.0,0.6,0.75,5.0
UN/EMPLOYMENT_RATE,0.0,0.0,0.0,49.0
WELFARE,0.75,0.5,0.6,6.0
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.0,0.0,0.0,5.0
micro avg,0.9142857142857143,0.13278008298755187,0.2318840579710145,241.0
macro avg,0.3922101449275362,0.178125,0.22556471306471307,241.0
weighted avg,0.29090745083889585,0.13278008298755187,0.16377654157737145,241.0
samples avg,0.16494845360824742,0.14690721649484537,0.1529209621993127,241.0
