,precision,recall,f1-score,support
CAPITAL_VS_LABOR,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,8.00 ± 0.00
COMPETITION/BUSINESS_CHALLENGES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
ECONOMIC_IMPACT,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
GOVERNMENT,1.00 ± 0.00,0.27 ± 0.05,0.42 ± 0.06,10.00 ± 0.00
LOW-SKILLED,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.00 ± 0.00
MOTIVATION/CHANCES,1.00 ± 0.00,0.05 ± 0.00,0.10 ± 0.00,20.00 ± 0.00
PRICES,0.97 ± 0.02,0.66 ± 0.03,0.78 ± 0.01,32.00 ± 0.00
SOCIAL_JUSTICE/INJUSTICE,0.33 ± 0.47,0.01 ± 0.01,0.01 ± 0.02,59.00 ± 0.00
TURNOVER,1.00 ± 0.00,0.60 ± 0.00,0.75 ± 0.00,5.00 ± 0.00
UN/EMPLOYMENT_RATE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,49.00 ± 0.00
WELFARE,0.72 ± 0.04,0.56 ± 0.08,0.62 ± 0.03,6.00 ± 0.00
YOUTH_AND_SECONDARY_WAGE_EARNERS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5.00 ± 0.00
micro avg,0.93 ± 0.03,0.13 ± 0.00,0.23 ± 0.01,241.00 ± 0.00
macro avg,0.42 ± 0.04,0.18 ± 0.01,0.22 ± 0.01,241.00 ± 0.00
weighted avg,0.37 ± 0.12,0.13 ± 0.00,0.16 ± 0.00,241.00 ± 0.00
samples avg,0.16 ± 0.00,0.14 ± 0.00,0.15 ± 0.00,241.00 ± 0.00
