,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.96,0.43636363636363634,0.6,55.0
COSTS,0.7142857142857143,0.2,0.3125,25.0
ENERGY_POLICY,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
ENVIRONMENTAL_IMPACT,0.9333333333333333,0.27450980392156865,0.42424242424242425,51.0
FOSSIL_FUELS,1.0,0.20833333333333334,0.3448275862068966,24.0
HEALTH_EFFECTS,0.8214285714285714,0.7419354838709677,0.7796610169491526,31.0
PUBLIC_DEBATE,0.0,0.0,0.0,5.0
RELIABILITY,0.6666666666666666,0.08333333333333333,0.14814814814814814,24.0
RENEWABLES,0.0,0.0,0.0,23.0
TECHNOLOGICAL_INNOVATION,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
WASTE,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
WEAPONS,1.0,0.2,0.3333333333333333,15.0
micro avg,0.8151260504201681,0.3222591362126246,0.46190476190476193,301.0
macro avg,0.6156150793650794,0.2631970399759774,0.3330236614542819,301.0
weighted avg,0.7465828191741813,0.3222591362126246,0.4158274368790503,301.0
samples avg,0.42857142857142855,0.380952380952381,0.3964285714285714,301.0
