,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.9655172413793104,0.509090909090909,0.6666666666666666,55.0
COSTS,0.7,0.28,0.4,25.0
ENERGY_POLICY,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
ENVIRONMENTAL_IMPACT,0.9333333333333333,0.27450980392156865,0.42424242424242425,51.0
FOSSIL_FUELS,1.0,0.125,0.2222222222222222,24.0
HEALTH_EFFECTS,0.84,0.6774193548387096,0.75,31.0
PUBLIC_DEBATE,0.0,0.0,0.0,5.0
RELIABILITY,1.0,0.08333333333333333,0.15384615384615385,24.0
RENEWABLES,0.0,0.0,0.0,23.0
TECHNOLOGICAL_INNOVATION,0.2,0.16666666666666666,0.18181818181818182,6.0
WASTE,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
WEAPONS,1.0,0.2,0.3333333333333333,15.0
micro avg,0.8403361344537815,0.33222591362126247,0.47619047619047616,301.0
macro avg,0.6504597701149425,0.26707574639500636,0.33839170089170084,301.0
weighted avg,0.7788818879596745,0.33222591362126247,0.42652447220553535,301.0
samples avg,0.4419642857142857,0.3932291666666667,0.4086309523809524,301.0
