,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.98 ± 0.02,0.47 ± 0.03,0.64 ± 0.03,55.00 ± 0.00
COSTS,0.67 ± 0.05,0.20 ± 0.07,0.30 ± 0.08,25.00 ± 0.00
ENERGY_POLICY,0.39 ± 0.08,0.06 ± 0.00,0.10 ± 0.00,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.92 ± 0.02,0.29 ± 0.03,0.44 ± 0.03,51.00 ± 0.00
FOSSIL_FUELS,1.00 ± 0.00,0.19 ± 0.05,0.32 ± 0.07,24.00 ± 0.00
HEALTH_EFFECTS,0.83 ± 0.01,0.74 ± 0.05,0.78 ± 0.03,31.00 ± 0.00
PUBLIC_DEBATE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,5.00 ± 0.00
RELIABILITY,0.89 ± 0.16,0.08 ± 0.00,0.15 ± 0.00,24.00 ± 0.00
RENEWABLES,0.33 ± 0.47,0.01 ± 0.02,0.03 ± 0.04,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.19 ± 0.02,0.17 ± 0.00,0.18 ± 0.01,6.00 ± 0.00
WASTE,0.77 ± 0.06,0.79 ± 0.03,0.78 ± 0.05,24.00 ± 0.00
WEAPONS,1.00 ± 0.00,0.16 ± 0.06,0.26 ± 0.10,15.00 ± 0.00
micro avg,0.83 ± 0.01,0.33 ± 0.01,0.47 ± 0.01,301.00 ± 0.00
macro avg,0.66 ± 0.05,0.26 ± 0.00,0.33 ± 0.01,301.00 ± 0.00
weighted avg,0.79 ± 0.04,0.33 ± 0.01,0.42 ± 0.00,301.00 ± 0.00
samples avg,0.44 ± 0.01,0.39 ± 0.01,0.40 ± 0.00,301.00 ± 0.00
