,precision,recall,f1-score,support
ADDICTION,0.0,0.0,0.0,12.0
CHILD_AND_TEEN_SAFETY,0.0,0.0,0.0,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.2,0.02564102564102564,0.045454545454545456,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.37209302325581395,0.8421052631578947,0.5161290322580645,19.0
GATEWAY_DRUG,1.0,0.6363636363636364,0.7777777777777778,11.0
HARM,0.0,0.0,0.0,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.48333333333333334,0.7837837837837838,0.5979381443298969,37.0
ILLEGAL_TRADE,1.0,0.058823529411764705,0.1111111111111111,17.0
LEGAL_DRUGS,0.3888888888888889,0.4117647058823529,0.4,17.0
MEDICAL_MARIJUANA,0.75,0.75,0.75,24.0
NATIONAL_BUDGET,0.0,0.0,0.0,23.0
PERSONAL_FREEDOM,1.0,0.25,0.4,8.0
micro avg,0.50625,0.313953488372093,0.3875598086124402,258.0
macro avg,0.39956271119061815,0.28911399571080443,0.27680081622549196,258.0
weighted avg,0.3618767902569958,0.313953488372093,0.2796408320553532,258.0
samples avg,0.36666666666666664,0.3395348837209302,0.34496124031007747,258.0
