,precision,recall,f1-score,support
ADDICTION,1.0,0.08333333333333333,0.15384615384615385,12.0
CHILD_AND_TEEN_SAFETY,0.0,0.0,0.0,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.75,0.07692307692307693,0.13953488372093023,39.0
DRUG_ABUSE,0.0,0.0,0.0,12.0
DRUG_POLICY,0.3181818181818182,0.7368421052631579,0.4444444444444444,19.0
GATEWAY_DRUG,1.0,0.5454545454545454,0.7058823529411765,11.0
HARM,0.0,0.0,0.0,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.5,0.7837837837837838,0.6105263157894737,37.0
ILLEGAL_TRADE,0.0,0.0,0.0,17.0
LEGAL_DRUGS,0.5555555555555556,0.29411764705882354,0.38461538461538464,17.0
MEDICAL_MARIJUANA,0.7391304347826086,0.7083333333333334,0.723404255319149,24.0
NATIONAL_BUDGET,0.0,0.0,0.0,23.0
PERSONAL_FREEDOM,1.0,0.5,0.6666666666666666,8.0
micro avg,0.5231788079470199,0.3062015503875969,0.3863080684596577,258.0
macro avg,0.450989831424614,0.2868298327038503,0.2945323428725676,258.0
weighted avg,0.43402724583209923,0.3062015503875969,0.2919385089989631,258.0
samples avg,0.35930232558139535,0.3294573643410853,0.3351937984496124,258.0
