,precision,recall,f1-score,support
ADDICTION,0.33 ± 0.47,0.03 ± 0.04,0.05 ± 0.07,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.65 ± 0.33,0.05 ± 0.02,0.09 ± 0.04,39.00 ± 0.00
DRUG_ABUSE,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,12.00 ± 0.00
DRUG_POLICY,0.33 ± 0.03,0.75 ± 0.07,0.46 ± 0.04,19.00 ± 0.00
GATEWAY_DRUG,1.00 ± 0.00,0.55 ± 0.07,0.70 ± 0.06,11.00 ± 0.00
HARM,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.49 ± 0.01,0.78 ± 0.00,0.61 ± 0.01,37.00 ± 0.00
ILLEGAL_TRADE,0.33 ± 0.47,0.02 ± 0.03,0.04 ± 0.05,17.00 ± 0.00
LEGAL_DRUGS,0.46 ± 0.07,0.43 ± 0.12,0.43 ± 0.05,17.00 ± 0.00
MEDICAL_MARIJUANA,0.72 ± 0.03,0.72 ± 0.02,0.72 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.00 ± 0.00
PERSONAL_FREEDOM,1.00 ± 0.00,0.38 ± 0.10,0.54 ± 0.11,8.00 ± 0.00
micro avg,0.51 ± 0.01,0.31 ± 0.00,0.38 ± 0.00,258.00 ± 0.00
macro avg,0.41 ± 0.03,0.29 ± 0.00,0.28 ± 0.01,258.00 ± 0.00
weighted avg,0.40 ± 0.03,0.31 ± 0.00,0.28 ± 0.01,258.00 ± 0.00
samples avg,0.36 ± 0.01,0.33 ± 0.01,0.33 ± 0.01,258.00 ± 0.00
