,precision,recall,f1-score,support
ACCIDENTS/SECURITY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,55.00 ± 0.00
COSTS,0.90 ± 0.07,0.24 ± 0.00,0.38 ± 0.01,25.00 ± 0.00
ENERGY_POLICY,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,18.00 ± 0.00
ENVIRONMENTAL_IMPACT,0.90 ± 0.03,0.24 ± 0.01,0.38 ± 0.01,51.00 ± 0.00
FOSSIL_FUELS,0.97 ± 0.04,0.44 ± 0.02,0.61 ± 0.02,24.00 ± 0.00
HEALTH_EFFECTS,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.00 ± 0.00
PUBLIC_DEBATE,0.17 ± 0.02,0.40 ± 0.00,0.24 ± 0.02,5.00 ± 0.00
RELIABILITY,0.50 ± 0.41,0.03 ± 0.02,0.05 ± 0.04,24.00 ± 0.00
RENEWABLES,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.00 ± 0.00
TECHNOLOGICAL_INNOVATION,0.42 ± 0.02,0.78 ± 0.08,0.55 ± 0.04,6.00 ± 0.00
WASTE,0.86 ± 0.02,0.53 ± 0.09,0.65 ± 0.07,24.00 ± 0.00
WEAPONS,1.00 ± 0.00,0.56 ± 0.03,0.71 ± 0.03,15.00 ± 0.00
micro avg,0.71 ± 0.02,0.19 ± 0.01,0.30 ± 0.02,301.00 ± 0.00
macro avg,0.48 ± 0.04,0.27 ± 0.02,0.30 ± 0.01,301.00 ± 0.00
weighted avg,0.48 ± 0.04,0.19 ± 0.01,0.25 ± 0.01,301.00 ± 0.00
samples avg,0.25 ± 0.01,0.22 ± 0.02,0.23 ± 0.01,301.00 ± 0.00
