,precision,recall,f1-score,support
ADDICTION,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
CHILD_AND_TEEN_SAFETY,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
COMMUNITY/SOCIETAL_EFFECTS,0.7272727272727273,0.6153846153846154,0.6666666666666666,39.0
DRUG_ABUSE,0.7,0.5833333333333334,0.6363636363636364,12.0
DRUG_POLICY,0.4482758620689655,0.6842105263157895,0.5416666666666666,19.0
GATEWAY_DRUG,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
HARM,0.2692307692307692,0.3888888888888889,0.3181818181818182,18.0
HEALTH/PSYCHOLOGICAL_EFFECTS,0.6666666666666666,0.4864864864864865,0.5625,37.0
ILLEGAL_TRADE,0.875,0.8235294117647058,0.8484848484848485,17.0
LEGAL_DRUGS,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
MEDICAL_MARIJUANA,0.8571428571428571,0.75,0.8,24.0
NATIONAL_BUDGET,0.8823529411764706,0.6521739130434783,0.75,23.0
PERSONAL_FREEDOM,0.6666666666666666,1.0,0.8,8.0
micro avg,0.6867469879518072,0.6627906976744186,0.6745562130177515,258.0
macro avg,0.7209099438035309,0.7009989261146369,0.7015672481893657,258.0
weighted avg,0.7166165051436763,0.6627906976744186,0.6807332990465651,258.0
samples avg,0.731365533691115,0.7085271317829457,0.70562569213732,258.0
