,precision,recall,f1-score,support
ADDICTION,0.84 ± 0.06,0.83 ± 0.00,0.83 ± 0.03,12.00 ± 0.00
CHILD_AND_TEEN_SAFETY,0.78 ± 0.05,0.83 ± 0.02,0.80 ± 0.03,21.00 ± 0.00
COMMUNITY/SOCIETAL_EFFECTS,0.70 ± 0.02,0.63 ± 0.06,0.67 ± 0.04,39.00 ± 0.00
DRUG_ABUSE,0.59 ± 0.08,0.58 ± 0.00,0.59 ± 0.04,12.00 ± 0.00
DRUG_POLICY,0.47 ± 0.02,0.81 ± 0.09,0.59 ± 0.04,19.00 ± 0.00
GATEWAY_DRUG,0.84 ± 0.06,0.91 ± 0.00,0.87 ± 0.03,11.00 ± 0.00
HARM,0.23 ± 0.04,0.33 ± 0.05,0.28 ± 0.04,18.00 ± 0.00
HEALTH/PSYCHOLOGICAL_EFFECTS,0.67 ± 0.03,0.50 ± 0.01,0.57 ± 0.02,37.00 ± 0.00
ILLEGAL_TRADE,0.77 ± 0.08,0.80 ± 0.03,0.78 ± 0.05,17.00 ± 0.00
LEGAL_DRUGS,0.62 ± 0.03,0.55 ± 0.03,0.58 ± 0.00,17.00 ± 0.00
MEDICAL_MARIJUANA,0.83 ± 0.02,0.74 ± 0.02,0.78 ± 0.02,24.00 ± 0.00
NATIONAL_BUDGET,0.87 ± 0.06,0.68 ± 0.04,0.76 ± 0.05,23.00 ± 0.00
PERSONAL_FREEDOM,0.71 ± 0.03,1.00 ± 0.00,0.83 ± 0.02,8.00 ± 0.00
micro avg,0.66 ± 0.02,0.67 ± 0.01,0.66 ± 0.01,258.00 ± 0.00
macro avg,0.69 ± 0.03,0.71 ± 0.00,0.69 ± 0.01,258.00 ± 0.00
weighted avg,0.69 ± 0.03,0.67 ± 0.01,0.67 ± 0.01,258.00 ± 0.00
samples avg,0.73 ± 0.00,0.71 ± 0.01,0.70 ± 0.00,258.00 ± 0.00
